#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
20,64,256,4,4,2,0.0,0.0001,0.0001,0.5428769017980636,0.7341640706126688,0.7407407407407407,0.5534458509142053,0.6481673582295988,0.8364485981308412,0.8709876543209876,0.7911392405063291,"[321, 270, 237, 189]",0.13208852005532537,0.3727524204702628,0.19308437067773168
16,64,128,3,4,4,0.1,1e-05,0.001,0.5152143845089903,0.741614255765199,0.7481060606060606,0.5320232896652108,0.6440179806362378,0.829140461215933,0.8636363636363636,0.7845705967976712,"[318, 264, 229, 181]",0.12863070539419116,0.3580567081604426,0.18676150958308632
21,128,256,4,3,2,0.0,0.0001,0.0001,0.5408022130013831,0.7197197197197198,0.8042973286875728,0.5762081784386616,0.6787690179806362,0.8588588588588588,0.9320557491289199,0.7924411400247832,"[333, 287, 269, 215]",0.15145228215767645,0.4279045643153527,0.22133965619442802
27,64,256,3,3,4,0.1,1e-05,0.0001,0.540802213001383,0.7442348008385741,0.7045454545454545,0.5391304347826085,0.6464384508990317,0.8254716981132075,0.8693181818181818,0.7789855072463769,"[318, 264, 230, 181]",0.1265560165975107,0.3616874135546334,0.1859612724757953
15,64,256,4,3,2,0.0,0.0001,0.001,0.49619640387275255,0.7435064935064936,0.7362155388471179,0.5876436781609194,0.6243084370677731,0.8603896103896104,0.868421052631579,0.807471264367816,"[308, 266, 232, 189]",0.13139695712309854,0.37793914246196403,0.19349930843706784
13,128,128,3,4,2,0.0,0.0001,0.001,0.5200553250345782,0.7386706948640482,0.7409988385598144,0.5681511470985154,0.6706431535269709,0.8625377643504532,0.8559814169570267,0.7469635627530364,"[331, 287, 247, 187]",0.13139695712309854,0.369640387275242,0.19157281169729304
18,64,256,4,4,4,0.0,0.0001,0.001,0.5055325034578143,0.7440660474716203,0.7612293144208039,0.648,0.6554287690179805,0.8679050567595459,0.8794326241134752,0.8533333333333333,"[323, 282, 250, 214]",0.15145228215767648,0.4279045643153526,0.22133965619442805
24,64,128,4,3,4,0.0,1e-05,0.001,0.5228215767634854,0.7350557244174268,0.7799295774647889,0.6596424010217115,0.6683955739972337,0.8586626139817631,0.9137323943661971,0.8575989782886335,"[329, 284, 261, 225]",0.15905947441217147,0.4507261410788381,0.23275044457617078
28,64,128,4,3,4,0.0,1e-05,0.0001,0.5414937759336104,0.6904024767801856,0.7496831432192647,0.5676638176638176,0.6533540802213,0.8126934984520123,0.8859315589353612,0.7784900284900286,"[323, 263, 234, 183]",0.13001383125864485,0.36479944674965425,0.18948824343015216
23,64,256,4,3,4,0.1,0.0001,0.001,0.5408022130013834,0.7172801635991822,0.7727840199750312,0.6201859229747677,0.6607883817427385,0.8179959100204499,0.9363295880149812,0.8081009296148738,"[326, 267, 251, 204]",0.14384508990318134,0.40767634854771784,0.21052163604030827
