#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
38,32,128,3,3,64,64,0.0,1e-05,0.001,0.2690179806362379,0.6224637681159421,0.7950310559006211,0.6209876543209877,0.463865836791148,0.6934782608695652,0.8291925465838509,0.7185185185185186,"[230, 161, 135, 98]",0.3405403359504724
65,128,128,2,3,64,64,0.1,0.0001,0.001,0.2586445366528353,0.6513888888888889,0.7228796844181459,0.7146464646464646,0.4794721069617335,0.698125,0.7662721893491125,0.7954545454545454,"[240, 169, 132, 106]",0.3360250497422289
34,64,64,2,3,64,64,0.0,1e-05,0.001,0.2572614107883816,0.6333333333333334,0.6645435244161358,0.6749311294765841,0.4521553711387736,0.6891111111111111,0.7547770700636943,0.731404958677686,"[225, 157, 121, 89]",0.3279373469534005
36,32,64,3,3,64,64,0.0,1e-05,0.001,0.2555325034578147,0.5964125560538116,0.7651515151515152,0.6532258064516129,0.4448939603503918,0.6827354260089686,0.7922077922077922,0.7419354838709677,"[223, 154, 124, 92]",0.3246161398399904
97,32,128,4,3,128,128,0.2,0.0001,0.001,0.2621023513139695,0.5211267605633803,0.712686567164179,0.6210691823899372,0.4249077916090364,0.6258215962441315,0.7835820895522388,0.7169811320754716,"[213, 134, 106, 77]",0.32421451828502595
97,32,64,3,3,64,64,0.2,0.0001,0.001,0.2780082987551868,0.532986111111111,0.6964769647696476,0.5866666666666667,0.3849585062240663,0.6341145833333334,0.8008130081300813,0.725,"[192, 123, 100, 73]",0.3228567662902513
92,64,64,4,3,64,64,0.1,0.0001,0.001,0.2614107883817428,0.6272141706924316,0.7033333333333333,0.6045197740112994,0.4175311203319502,0.717391304347826,0.7766666666666666,0.6991525423728814,"[207, 150, 118, 83]",0.32152129052299916
61,128,64,3,3,64,64,0.0,0.0001,0.001,0.2648686030428769,0.5859649122807017,0.7435897435897435,0.5654205607476636,0.3801867219917012,0.6789473684210526,0.8153846153846154,0.7149532710280374,"[190, 130, 107, 77]",0.31221981135957455
62,32,64,3,3,64,128,0.2,0.0001,0.001,0.2455048409405255,0.5326797385620915,0.6430555555555554,0.524621212121212,0.4067427385892115,0.5845588235294118,0.7333333333333333,0.6306818181818182,"[204, 120, 88, 56]",0.30619450182721747
40,128,64,4,3,128,64,0.1,1e-05,0.001,0.2448132780082986,0.6030150753768844,0.742857142857143,0.6345029239766082,0.3981673582295989,0.6959798994974874,0.8071428571428572,0.7324561403508771,"[199, 140, 114, 84]",0.30320246262603484
72,32,64,3,3,128,64,0.1,0.0001,0.001,0.2406639004149377,0.548469387755102,0.6881720430107525,0.4385964912280701,0.3926348547717842,0.6301020408163265,0.7580645161290323,0.5736842105263158,"[196, 124, 95, 55]",0.298415352357261
44,32,128,2,3,64,128,0.0,0.0001,0.001,0.2330567081604426,0.560530679933665,0.6781170483460559,0.6494845360824743,0.3993199631166436,0.6492537313432836,0.7366412213740458,0.711340206185567,"[201, 131, 97, 69]",0.29433152845050703
71,32,64,4,3,64,64,0.0,0.0001,0.001,0.2289073305670815,0.5485008818342153,0.6946778711484595,0.624074074074074,0.3794260027662517,0.6256613756613757,0.7521008403361344,0.75,"[189, 119, 90, 68]",0.28554540309356974
43,32,128,3,3,128,64,0.2,1e-05,0.001,0.2254495159059473,0.5876288659793815,0.6868686868686869,0.6649305555555555,0.3880705394190871,0.6791237113402062,0.7196969696969697,0.7708333333333334,"[194, 132, 96, 74]",0.28520767818434845
87,32,64,4,3,64,64,0.1,0.0001,0.001,0.2074688796680497,0.622950819672131,0.7013333333333335,0.5473684210526316,0.369744121715076,0.6762295081967213,0.756,0.6947368421052632,"[183, 125, 95, 66]",0.2657958102546523
79,32,64,3,3,64,128,0.1,0.0001,0.001,0.2171507607192254,0.5204678362573097,0.6146788990825688,0.4688888888888888,0.340698478561549,0.6330409356725146,0.6834862385321101,0.5866666666666667,"[171, 109, 75, 44]",0.2652434693319938
