#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
20,128,128,3,2,64,128,0.0,1e-05,0.001,0.3727524204702626,0.667919799498747,0.7472353870458135,0.6161904761904761,0.5352697095435685,0.7885338345864662,0.8183254344391785,0.7476190476190476,"[266, 211, 175, 132]",0.4394674386046965,0.6755719606278265,0.5575196996162615
26,64,128,3,2,128,64,0.1,1e-05,0.001,0.3786307053941908,0.7048484848484848,0.7762762762762762,0.5968586387434555,0.5572268326417705,0.806060606060606,0.8490990990990991,0.7382198952879581,"[275, 222, 191, 144]",0.4508874056846396,0.6600554357868801,0.5554714207357598
37,32,64,4,3,128,128,0.0,1e-05,0.001,0.3492392807745504,0.6451414514145141,0.7613065326633166,0.626232741617357,0.5428769017980637,0.7343173431734318,0.8350083752093803,0.7495069033530573,"[271, 199, 169, 128]",0.4250431556713521,0.6823467865651488,0.5536949711182504
44,32,64,4,2,64,128,0.2,0.0001,0.001,0.3291839557399723,0.5752269779507133,0.7951582867783984,0.6485042735042735,0.5212655601659751,0.6926070038910506,0.856610800744879,0.767094017094017,"[257, 179, 156, 121]",0.4035330866257436,0.7028318013223674,0.5531824439740556
47,32,128,2,2,128,64,0.1,0.0001,0.001,0.3582295988934991,0.5727155727155726,0.753153153153153,0.629139072847682,0.5197095435684648,0.7094594594594594,0.8090090090090091,0.7328918322295807,"[259, 185, 151, 113]",0.4241190131051038,0.6770637672137129,0.5505913901594084
68,128,64,3,3,64,64,0.2,0.0001,0.001,0.285615491009682,0.5560407569141192,0.6843267108167771,0.6712538226299694,0.4640387275242046,0.6593886462882096,0.7064017660044151,0.8241590214067278,"[229, 151, 109, 91]",0.3535940857333885,0.7398891828170829,0.5467416342752357
33,128,128,4,2,64,64,0.0,0.0001,0.001,0.3526970954356845,0.6488801054018443,0.7763605442176872,0.6161616161616161,0.5103734439834025,0.7717391304347826,0.8333333333333333,0.7484848484848485,"[253, 196, 165, 125]",0.4171321417172038,0.6759078572550075,0.5465199994861056
36,128,128,4,2,128,64,0.0,0.0001,0.001,0.3167358229598893,0.6449864498644986,0.7508865248226948,0.665625,0.4955048409405255,0.7591463414634146,0.8368794326241136,0.7520833333333334,"[246, 188, 160, 122]",0.3864473684985282,0.7062178545187363,0.5463326115086322
33,64,128,2,3,64,128,0.1,1e-05,0.001,0.3098201936376211,0.6176470588235295,0.7417153996101363,0.65625,0.4783886583679115,0.7163865546218487,0.8304093567251462,0.7731481481481483,"[238, 171, 144, 113]",0.3760791734131596,0.709919028340081,0.5429991008766203
74,64,64,3,3,64,128,0.2,0.0001,0.001,0.3457814661134163,0.5773049645390071,0.75,0.6161971830985915,0.4764868603042876,0.7457446808510638,0.7935606060606062,0.7640845070422535,"[235, 176, 142, 109]",0.4007458875561712,0.6822183098591549,0.5414820987076631
56,64,128,3,2,128,64,0.2,0.0001,0.001,0.3755186721991703,0.620782726045884,0.7757731958762886,0.5948103792415168,0.4991355463347164,0.7800269905533063,0.845360824742268,0.7255489021956089,"[247, 194, 167, 123]",0.4285915819881417,0.6537069474052649,0.5411492646967033
24,128,64,2,3,64,128,0.0,1e-05,0.001,0.3402489626556016,0.66734693877551,0.7053872053872053,0.6242236024844721,0.4937759336099585,0.8040816326530612,0.7988215488215489,0.7298136645962734,"[245, 198, 161, 119]",0.4028818562787721,0.6729015898341787,0.5378917230564754
