Model: Seq2Seq Multimodal Bi-LSTM
Source index: <Seq2Seq Index with 45 items>
Target index: <Seq2Seq Index with 34 items>
Encoder embedding dimension: 128
Descriptors dimension: 1136
Decoder embedding dimension: 64
Encoder hidden units: 32
Encoder layers: 2
Decoder hidden units: 64
Decoder layers: 2
Dropout: 0.1
Trainable parameters: 236,514

Training started
X_train.shape: torch.Size([3034, 702])
Y_train.shape: torch.Size([3034, 7])
X_dev.shape: torch.Size([542, 350])
Y_dev.shape: torch.Size([542, 7])
Epochs: 500
Learning rate: 0.0001
Weight decay: 0.0001
Epoch | Train                 | Development           | Minutes
      | Loss     | Error Rate | Loss     | Error Rate |
    3 |   2.5401 |     63.816 |   2.4152 |     59.317 |     0.2
    4 |   2.3251 |     58.723 |   2.2449 |     59.317 |     0.3
    5 |   2.1883 |     57.938 |   2.1307 |     59.317 |     0.4
    6 |   2.0858 |     56.894 |   2.0418 |     59.317 |     0.5
    7 |   2.0042 |     55.471 |   1.9680 |     54.028 |     0.6
    8 |   1.9360 |     52.362 |   1.9082 |     49.416 |     0.7
    9 |   1.8795 |     49.846 |   1.8570 |     49.385 |     0.7
   10 |   1.8295 |     49.028 |   1.8109 |     49.385 |     0.8
   11 |   1.7838 |     48.824 |   1.7697 |     49.385 |     0.9
   12 |   1.7435 |     48.748 |   1.7324 |     49.385 |     1.0
   13 |   1.7054 |     48.632 |   1.6984 |     49.416 |     1.1
   14 |   1.6701 |     48.605 |   1.6650 |     49.416 |     1.2
   15 |   1.6366 |     48.566 |   1.6340 |     49.416 |     1.2
   16 |   1.6059 |     48.000 |   1.6039 |     47.232 |     1.3
   17 |   1.5774 |     46.385 |   1.5778 |     47.202 |     1.4
   18 |   1.5534 |     46.116 |   1.5556 |     47.202 |     1.5
   19 |   1.5317 |     46.078 |   1.5368 |     47.202 |     1.6
   20 |   1.5149 |     46.083 |   1.5202 |     47.171 |     1.6
   21 |   1.4994 |     46.067 |   1.5067 |     47.202 |     1.7
   22 |   1.4874 |     46.089 |   1.4949 |     47.171 |     1.8
   23 |   1.4756 |     46.028 |   1.4858 |     47.171 |     1.9
   24 |   1.4673 |     46.072 |   1.4768 |     47.202 |     2.0
   25 |   1.4582 |     46.034 |   1.4690 |     47.202 |     2.1
   26 |   1.4503 |     46.056 |   1.4624 |     47.202 |     2.1
   27 |   1.4438 |     46.028 |   1.4560 |     47.171 |     2.2
   28 |   1.4364 |     46.006 |   1.4513 |     47.202 |     2.3
   29 |   1.4303 |     46.001 |   1.4455 |     47.202 |     2.4
   30 |   1.4249 |     46.034 |   1.4408 |     47.202 |     2.5
   31 |   1.4188 |     45.990 |   1.4355 |     47.202 |     2.5
   32 |   1.4124 |     45.907 |   1.4327 |     47.202 |     2.6
   33 |   1.4061 |     45.737 |   1.4280 |     47.263 |     2.7
   34 |   1.4021 |     45.501 |   1.4249 |     46.956 |     2.8
