#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
99,128,64,4,2,64,64,0.1,0.0001,0.0001,0.4744588744588744,0.6964769647696477,0.6615120274914088,0.6121593291404609,0.5965182436611007,0.7778270509977827,0.7819587628865978,0.7463312368972745,"[246, 194, 159, 126]",0.1160173160173161,0.2723191094619666,0.155885384456813
47,128,128,3,3,64,64,0.1,1e-05,0.001,0.49004329004329034,0.6935953420669576,0.7203703703703707,0.5450733752620546,0.560952380952381,0.7704313881169775,0.8353703703703704,0.719601677148847,"[229, 180, 159, 120]",0.11428571428571434,0.26152133580705006,0.15138115852401562
33,64,128,4,4,128,128,0.0,1e-05,0.001,0.44415584415584414,0.6043613707165109,0.6165577342047931,0.3933933933933935,0.5186580086580087,0.7027258566978193,0.6818082788671024,0.5855855855855856,"[214, 153, 111, 68]",0.059740259740259705,0.14584415584415586,0.08152133580705008
50,64,128,4,4,64,128,0.2,1e-05,0.001,0.48917748917748904,0.67090395480226,0.7579787234042553,0.5956607495069034,0.5752813852813853,0.7856638418079096,0.8515070921985818,0.7652859960552267,"[236, 188, 169, 134]",0.1290043290043291,0.29907235621521333,0.1726798598227169
28,64,128,2,4,64,128,0.0,1e-05,0.001,0.4943722943722945,0.7236842105263158,0.7071563088512242,0.5293501048218027,0.5580086580086581,0.7551368952684742,0.8575329566854989,0.7515723270440252,"[228, 177, 159, 124]",0.12034632034632041,0.2754792826221397,0.15959802102659237
82,128,64,4,3,128,64,0.2,0.0001,0.0001,0.34372294372294376,0.6021505376344087,0.5519999999999999,0.38697318007662834,0.4513729128014841,0.6639784946236559,0.68,0.4578544061302681,"[186, 125, 87, 42]",0.03636363636363638,0.0904143475572047,0.0503030303030303
22,128,64,4,2,32,128,0.2,0.0001,0.001,0.535064935064935,0.7803030303030302,0.7772988505747129,0.6339563862928346,0.6508286951144093,0.8612545913682278,0.8873563218390804,0.822429906542056,"[264, 232, 214, 181]",0.1826839826839829,0.41322820037105756,0.2421933621933622
71,64,128,4,3,32,128,0.0,1e-05,0.0001,0.3545454545454545,0.6905864197530863,0.7592592592592592,0.5153664302600474,0.5214162028447742,0.7307870370370372,0.8338477366255143,0.6335697399527187,"[216, 162, 141, 91]",0.08398268398268388,0.19669140383426098,0.11356833642547923
94,64,64,3,4,128,64,0.1,0.0001,0.0001,0.20865800865800868,0.43045563549160665,0.5588235294117648,0.40780141843971635,0.3374335188620902,0.48201438848920863,0.6911764705882353,0.5,"[139, 68, 47, 24]",0.02077922077922077,0.057513914656771796,0.02987012987012987
75,64,128,3,4,64,64,0.2,1e-05,0.001,0.48917748917748916,0.7028985507246378,0.7531876138433516,0.5214723926380367,0.5560420531849102,0.7806324110671936,0.8474499089253187,0.6942740286298569,"[230, 183, 163, 120]",0.11428571428571438,0.2595918367346938,0.15102040816326529
77,64,128,3,2,128,64,0.0,0.0001,0.0001,0.42813852813852804,0.7217391304347827,0.7768817204301075,0.5694444444444444,0.5526468769325913,0.7909420289855073,0.8447132616487457,0.7371031746031745,"[230, 186, 168, 128]",0.11731601731601742,0.27282003710575137,0.15678622964337244
