#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1,F1 nivel4,F1 promedio
18,128,256,4,3,4,0.1,0.0001,0.0001,0.5601731601731603,0.8018372703412074,0.7962154294032021,0.5545171339563861,0.6172809729952587,0.8831036745406824,0.9056456643792888,0.7869937694704049,"[254, 229, 214, 176]",0.1705627705627708,0.3948835291692434,0.2279736136878994,0.5873421709040068,0.6506119754576815,0.6189770731808442
23,128,128,4,3,2,0.1,0.0001,0.001,0.5194805194805192,0.7186666666666665,0.8207547169811319,0.588383838383838,0.6104040404040404,0.8239,0.9102650494159928,0.7824074074074076,"[250, 212, 198, 162]",0.1584415584415587,0.359839208410637,0.2091816120387548,0.5612839032591013,0.6716644492204821,0.6164741762397916
28,64,256,3,4,4,0.1,0.0001,0.0001,0.5471861471861473,0.7326530612244899,0.7984126984126988,0.5590277777777775,0.5980849309420738,0.8361564625850341,0.8827097505668934,0.790798611111111,"[245, 210, 192, 161]",0.1506493506493509,0.3487074829931972,0.201727478870336,0.5715045028241722,0.6550151839942835,0.6132598434092278
16,128,128,4,4,2,0.0,0.0001,0.001,0.5160173160173159,0.7164750957854406,0.8392857142857141,0.5809523809523808,0.6413069470212328,0.8317688378033206,0.8966305272108844,0.7214285714285714,"[261, 224, 210, 161]",0.1523809523809526,0.3445083487940631,0.2017913832199546,0.5718803279494243,0.6436145207626011,0.6077474243560127
23,64,256,4,3,2,0.0,1e-05,0.0001,0.5393939393939392,0.767634854771784,0.7844551282051282,0.5451388888888887,0.5910472067614926,0.8475449515905947,0.8937156593406592,0.8081597222222223,"[241, 208, 192, 162]",0.1567099567099569,0.3625458668315812,0.2096990311276025,0.5640404762461303,0.6510895517069345,0.6075650139765324
21,128,128,4,4,4,0.0,1e-05,0.001,0.4597402597402597,0.7741046831955921,0.8429487179487182,0.6433333333333334,0.5864646464646466,0.847141873278237,0.9273351648351648,0.7658333333333333,"[242, 208, 200, 159]",0.1670995670995672,0.3643022057307772,0.2168089053803339,0.5154275367952232,0.6992588212103292,0.6073431790027762
17,128,128,3,3,2,0.1,0.0001,0.001,0.5082251082251079,0.7637795275590551,0.8105022831050229,0.5754560530679932,0.6150484436198723,0.854494750656168,0.8878016960208739,0.7595356550580431,"[254, 219, 201, 160]",0.1541125541125543,0.356413110698825,0.2063306534735106,0.5565573253442587,0.6548046516897911,0.6056809885170249
34,64,256,3,4,4,0.1,1e-05,0.0001,0.5428571428571425,0.7731481481481479,0.7876712328767121,0.5349999999999999,0.6103545660688517,0.8546626984126984,0.8874211785170687,0.785,"[252, 219, 200, 164]",0.1567099567099569,0.3648690991548135,0.2095320552463409,0.5746305440733448,0.6363257575757576,0.6054781508245513
27,64,256,4,4,4,0.1,0.0001,0.0001,0.5419913419913419,0.7506613756613756,0.812006319115324,0.5335008375209378,0.6087095444238303,0.821064814814815,0.9140713157300836,0.7730318257956448,"[252, 211, 199, 163]",0.1532467532467535,0.3572026386312101,0.205153576582148,0.573416266138474,0.6313093243997764,0.6023627952691252
17,64,128,4,3,2,0.1,0.0001,0.001,0.5246753246753244,0.7325102880658434,0.8143564356435645,0.5403508771929822,0.5980457637600494,0.8060356652949245,0.9088283828382836,0.7631578947368421,"[243, 202, 190, 153]",0.1541125541125543,0.3430179344465059,0.2020820449391877,0.5589631449940794,0.6327123326485796,0.5958377388213295
24,64,256,4,4,2,0.1,1e-05,0.0001,0.5290043290043288,0.7547814207650272,0.7829268292682925,0.5361552028218693,0.5891424448567306,0.8238046448087432,0.8882694541231125,0.7760141093474427,"[244, 205, 189, 154]",0.1489177489177491,0.340424654710369,0.1968315811172954,0.5574561605239334,0.6341620678538241,0.5958091141888788
36,64,128,4,3,2,0.1,1e-05,0.0001,0.552380952380952,0.7142857142857146,0.7532362459546926,0.5106951871657752,0.6121727478870337,0.7976521164021164,0.8631530282015718,0.7317290552584669,"[252, 206, 187, 145]",0.1333333333333335,0.3099628942486085,0.1787342815914243,0.5807419021066849,0.6015505719700164,0.5911462370383507
34,64,128,4,4,4,0.1,0.0001,0.0001,0.5229437229437228,0.7178423236514524,0.7937710437710439,0.5244565217391303,0.5859513502370646,0.7974066390041493,0.9007335257335256,0.7445652173913043,"[241, 198, 184, 145]",0.1411255411255413,0.3083962069676356,0.1834343434343434,0.5526574839545978,0.6154222139465598,0.5840398489505788
30,64,128,4,4,2,0.1,1e-05,0.0001,0.5393939393939391,0.721763085399449,0.788177339901478,0.5160427807486628,0.5832982890125747,0.8180785123966942,0.8886347642505278,0.7299465240641712,"[242, 203, 187, 143]",0.1316017316017317,0.3135415378272521,0.1783013811585239,0.5604876456636771,0.6046338160703219,0.5825607308669996
