#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
24,128,128,3,4,2,0.1,1e-05,0.0001,0.5125541125541125,0.7397540983606556,0.8261217948717948,0.5694444444444441,0.6046103896103896,0.8422131147540983,0.8866185897435899,0.7980902777777777,"[244, 208, 192, 161]",0.1653679653679656,0.3697402597402598,0.21855493712636562
12,64,256,3,3,2,0.0,0.0001,0.001,0.5008658008658011,0.7051792828685257,0.8590381426202323,0.5998217468805703,0.6186796536796537,0.795816733067729,0.8959369817578773,0.8141711229946526,"[251, 201, 187, 158]",0.15974025974026,0.36391774891774903,0.21247802702348156
16,128,256,4,4,2,0.0,0.0001,0.0001,0.5056277056277055,0.761224489795918,0.8480620155038757,0.6212871287128711,0.6074025974025974,0.8683673469387755,0.910077519379845,0.8333333333333334,"[245, 215, 202, 174]",0.17922077922077936,0.40036796536796543,0.2359680290849122
16,128,256,4,3,2,0.0,0.0001,0.001,0.4917748917748919,0.6943291839557396,0.8566666666666665,0.5500910746812383,0.5878354978354978,0.8215767634854771,0.88,0.7901639344262295,"[241, 200, 183, 151]",0.14805194805194824,0.3406709956709957,0.19729146755120783
16,64,128,3,4,4,0.1,0.0001,0.001,0.4909090909090911,0.7163978494623654,0.8433333333333333,0.5874769797421728,0.608939393939394,0.8007392473118279,0.8758333333333332,0.8388581952117864,"[248, 200, 181, 158]",0.1601731601731604,0.36261904761904773,0.2126388186128445
22,64,128,4,4,2,0.0,1e-05,0.001,0.48831168831168836,0.7786357786357784,0.8496296296296297,0.6239935587761676,0.6435714285714286,0.8642213642213642,0.8925925925925926,0.8047504025764893,"[259, 225, 207, 172]",0.1809523809523812,0.4026623376623378,0.2377058151084125
22,64,128,3,3,4,0.1,1e-05,0.0001,0.49870129870129887,0.7086894586894585,0.75043630017452,0.4748995983935741,0.570064935064935,0.8073361823361823,0.8411867364746947,0.6766064257028113,"[234, 191, 166, 123]",0.11688311688311699,0.2596969696969697,0.1537662337662337
18,128,128,3,4,4,0.0,0.0001,0.0001,0.5090909090909089,0.7516339869281046,0.8363774733637747,0.6102693602693601,0.6288095238095238,0.8496732026143791,0.8770928462709284,0.8320707070707071,"[255, 219, 198, 172]",0.17402597402597422,0.39300865800865803,0.23065778377466697
21,64,256,4,4,2,0.1,0.0001,0.001,0.5194805194805197,0.6888466413181242,0.810569105691057,0.5975177304964536,0.6469264069264069,0.7652091254752852,0.8833333333333334,0.8141843971631205,"[263, 205, 188, 159]",0.16017316017316044,0.3572077922077922,0.21147617173591196
24,128,256,4,4,4,0.1,0.0001,0.001,0.49437229437229446,0.7297476759628155,0.8452950558213715,0.6185567010309276,0.6203896103896104,0.8217131474103586,0.9035087719298246,0.8152920962199313,"[251, 209, 194, 166]",0.16969696969696993,0.38080086580086586,0.22417870729559047
20,128,256,4,3,2,0.1,1e-05,0.0001,0.5333333333333334,0.7392996108949415,0.8379416282642087,0.5666666666666663,0.6325324675324675,0.8343060959792477,0.8974654377880185,0.7853333333333334,"[257, 217, 200, 163]",0.16623376623376648,0.3710606060606061,0.2192807481119169
16,64,128,4,4,2,0.1,1e-05,0.001,0.46753246753246747,0.7264416315049224,0.8367697594501716,0.5514981273408239,0.5816666666666667,0.8055555555555555,0.8969072164948454,0.7500936329588014,"[237, 194, 178, 141]",0.14458874458874485,0.3225757575757576,0.19042071925188797
31,64,128,3,4,4,0.1,0.0001,0.0001,0.5151515151515152,0.6673553719008263,0.8167587476979743,0.4808080808080807,0.5883982683982684,0.7431129476584022,0.8890423572744016,0.7050505050505051,"[242, 181, 165, 128]",0.12207792207792223,0.27677489177489184,0.1616781919379321
22,64,256,3,4,4,0.0,0.0001,0.0001,0.5125541125541125,0.6937500000000001,0.8501683501683504,0.5918003565062385,0.5868398268398268,0.814236111111111,0.9137205387205388,0.8240641711229948,"[240, 198, 187, 160]",0.15584415584415612,0.3602380952380953,0.20789752815726842
20,64,128,4,3,2,0.0,0.0001,0.001,0.49350649350649395,0.7120051085568325,0.8625592417061612,0.6284013605442175,0.644047619047619,0.7978927203065134,0.8945497630331755,0.8086734693877551,"[261, 211, 196, 166]",0.16796536796536823,0.38080086580086575,0.22238938550626855
13,128,256,3,3,4,0.1,1e-05,0.001,0.48398268398268385,0.6759259259259259,0.8081081081081083,0.5828343313373251,0.5753030303030302,0.7774216524216524,0.8675675675675676,0.7594810379241518,"[234, 185, 167, 133]",0.1359307359307361,0.2958225108225109,0.17727497610614493
23,64,128,4,3,2,0.0,0.0001,0.0001,0.5177489177489177,0.7011019283746555,0.8238341968911918,0.5357815442561203,0.598095238095238,0.7834022038567492,0.874784110535406,0.7623352165725047,"[242, 193, 177, 141]",0.14112554112554132,0.3188961038961039,0.18638856093401543
26,64,256,4,4,4,0.0,0.0001,0.0001,0.4883116883116885,0.7277777777777777,0.8308207705192627,0.5430107526881719,0.5856709956709957,0.8184027777777778,0.9011725293132328,0.7765232974910394,"[240, 199, 186, 149]",0.14805194805194832,0.33664502164502164,0.1966050111504657
18,128,256,4,3,4,0.0,1e-05,0.001,0.5038961038961038,0.669260700389105,0.824519230769231,0.5549549549549547,0.627900432900433,0.7996108949416343,0.8589743589743589,0.714954954954955,"[257, 208, 185, 141]",0.14025974025974045,0.30982683982683984,0.18424036281179132
21,128,256,3,4,4,0.1,1e-05,0.0001,0.5212121212121213,0.7405228758169933,0.8410138248847924,0.5684818481848182,0.6200432900432901,0.8415032679738561,0.9016897081413211,0.7851485148514853,"[255, 217, 202, 167]",0.16277056277056307,0.3737662337662338,0.2168625025767883
27,64,128,3,4,2,0.1,0.0001,0.0001,0.49870129870129876,0.6750700280112046,0.8067765567765567,0.4910179640718562,0.5812121212121213,0.7580532212885154,0.8914835164835165,0.689620758483034,"[238, 182, 167, 123]",0.12294372294372309,0.2718181818181818,0.16135642135642128
11,64,128,3,4,4,0.0,0.0001,0.001,0.4519480519480518,0.722934472934473,0.82010582010582,0.6033138401559452,0.5788311688311689,0.8044871794871795,0.88668430335097,0.7632553606237817,"[234, 189, 171, 141]",0.14545454545454573,0.31703463203463206,0.1891653079964768
