n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
50,40,2,4,balanced,0.26959517657192045,0.3738317757009345,0.4693877551020407,0.4090909090909091,0.5127476313522826,0.42601246105919,0.5335276967930029,0.42727272727272725,"[214, 98, 55, 25]"
500,40,5,4,balanced,0.2704565030146424,0.40533980582524265,0.4733333333333334,0.32456140350877194,0.4933821418317543,0.4577265372168285,0.505,0.34210526315789475,"[206, 100, 57, 21]"
500,None,10,4,balanced,0.27045650301464247,0.38939393939393935,0.4471947194719472,0.4869281045751634,0.5296870513924778,0.4418181818181818,0.47937293729372943,0.5163398692810457,"[220, 101, 51, 28]"
500,None,10,2,balanced,0.27131782945736405,0.4071537290715373,0.429245283018868,0.4807692307692308,0.5346683893195522,0.44459665144596655,0.45676100628930816,0.5192307692307693,"[219, 106, 52, 28]"
100,20,5,2,balanced,0.2730404823428076,0.46087636932707343,0.5413105413105413,0.36231884057971014,0.5081108240022969,0.5137584767866458,0.5584045584045584,0.4492753623188406,"[213, 117, 69, 32]"
500,None,5,4,balanced,0.27390180878552933,0.39429012345679015,0.5154320987654321,0.4781420765027322,0.519738730979041,0.45932355967078187,0.5239197530864197,0.4781420765027322,"[216, 108, 61, 31]"
50,40,10,4,balanced,0.2747631352282513,0.36124031007751933,0.48784722222222227,0.4056603773584906,0.5174992822279644,0.40397932816537463,0.5147569444444445,0.4528301886792453,"[215, 96, 53, 24]"
50,20,5,2,balanced,0.2764857881136949,0.43380062305295947,0.5181818181818183,0.3932291666666667,0.5133649153028997,0.48141225337487015,0.5295454545454545,0.4348958333333333,"[214, 110, 64, 30]"
100,20,2,2,balanced,0.276485788113695,0.4817351598173516,0.5213333333333334,0.4177777777777778,0.5299023830031582,0.5407407407407407,0.5673333333333332,0.45777777777777773,"[219, 125, 75, 36]"
500,None,10,1,balanced,0.2790697674418602,0.43583724569640064,0.4502923976608187,0.4098360655737705,0.5198248636233133,0.47674752217005734,0.4834795321637427,0.47540983606557374,"[213, 114, 61, 29]"
50,None,10,1,balanced,0.2799310938845819,0.448776758409786,0.5170940170940171,0.4607843137254902,0.5305483778351995,0.5038863404689093,0.5391737891737891,0.4852941176470588,"[218, 117, 68, 35]"
100,None,10,1,balanced,0.284237726098191,0.40909090909090917,0.5257575757575758,0.34825870646766166,0.530289979902383,0.4769570707070707,0.5505411255411256,0.40298507462686567,"[220, 110, 67, 27]"
50,40,10,2,balanced,0.28854435831179986,0.38497652582159625,0.5646258503401361,0.3388888888888889,0.5133505598621878,0.4284298382889932,0.5782312925170068,0.4083333333333333,"[213, 98, 60, 26]"
100,40,10,1,balanced,0.2894056847545218,0.41896024464831816,0.5530303030303031,0.4600938967136151,0.5309216192937123,0.47364933741080534,0.615909090909091,0.4976525821596243,"[218, 110, 71, 37]"
