#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precisionatn nivel1,Precisionatn nivel2,Precisionatn nivel3,Precisionatn nivel4,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
15,128,256,3,2,4,0.0,0.0001,0.0001,68.01470588235294,84.5945945945946,85.3035143769968,80.89887640449437,0.583979328165375,0.7681159420289853,0.8202479338842976,0.5807860262008734,0.6848119437266724,0.8554247181964574,0.9012888626524992,0.8180494905385736,"[276, 242, 229, 191]",0.6303889815079888
20,128,256,3,4,2,0.2,1e-05,0.0001,66.17647058823529,84.44444444444444,81.25,66.80161943319838,0.5994832041343667,0.7785977859778596,0.7361702127659572,0.4790660225442832,0.6628050531151307,0.8472427224272242,0.8581965552178319,0.6974235104669888,"[271, 235, 207, 153]",0.6295558794529312
22,128,128,4,3,2,0.0,0.0001,0.0001,69.11764705882352,84.8404255319149,87.46081504702194,80.64516129032258,0.5719207579672694,0.7779740871613661,0.8313172043010753,0.6042553191489362,0.6975595750789549,0.8576658814291322,0.914333717357911,0.8236879432624113,"[283, 248, 235, 200]",0.6285230113792645
37,64,128,2,3,4,0.1,1e-05,0.0001,65.44117647058823,81.46067415730337,85.51724137931035,72.98387096774194,0.602067183462532,0.7319651741293528,0.7694566813509544,0.5128824476650564,0.6571633649153029,0.8292184908789387,0.884078036500944,0.7504025764895329,"[268, 227, 207, 165]",0.6284099392267903
22,128,64,4,2,4,0.1,0.0001,0.0001,65.44117647058823,80.89887640449437,84.72222222222221,74.59016393442623,0.5960378983634795,0.7453874538745386,0.7814327485380119,0.4975845410628017,0.6598334768877404,0.8189319393193931,0.8796157059314954,0.7552334943639291,"[271, 228, 207, 162]",0.6263153481866165
26,128,256,2,4,2,0.2,0.0001,0.001,66.91176470588235,84.06593406593407,84.9673202614379,77.3076923076923,0.5813953488372089,0.7761557177615568,0.8222222222222225,0.533033033033033,0.6785673270169394,0.8522607461476074,0.8887400793650794,0.7915915915915915,"[274, 240, 222, 182]",0.626234245443973
29,64,256,4,4,4,0.2,0.0001,0.001,67.46323529411765,82.01634877384197,87.37541528239203,79.08745247148289,0.573643410852713,0.7511904761904762,0.823570432357043,0.5795454545454543,0.6891185759402814,0.8323710317460318,0.8957959752938832,0.8084090909090909,"[280, 239, 220, 184]",0.6261010935058351
30,64,128,3,3,4,0.0,1e-05,0.0001,67.64705882352942,82.33695652173914,84.15841584158416,78.43137254901961,0.5779500430663224,0.7607913669064746,0.773305084745763,0.5764525993883791,0.6829170255526845,0.8312849720223822,0.8858857949959644,0.7859327217125381,"[278, 236, 218, 176]",0.6260642920291256
16,128,128,4,2,2,0.0,0.0001,0.0001,65.44117647058823,85.67415730337079,82.62295081967214,73.01587301587301,0.5943152454780358,0.7866915422885571,0.7818930041152264,0.515625,0.6584553545793856,0.8843179933665009,0.8768273564569862,0.7373511904761906,"[268, 243, 224, 172]",0.6247433579224126
37,64,256,2,3,2,0.1,0.0001,0.0001,65.99264705882352,83.28690807799443,81.93979933110369,74.28571428571429,0.5839793281653743,0.7551892551892552,0.7828947368421055,0.4952606635071088,0.6702124605225378,0.8210724460724461,0.8816729323308271,0.7484202211690363,"[273, 228, 211, 165]",0.6241313744104029
21,128,256,3,4,4,0.0,1e-05,0.0001,68.93382352941177,85.06666666666666,89.65517241379311,81.11888111888112,0.5719207579672698,0.7761732851985558,0.844621513944223,0.6286919831223627,0.6836491530289979,0.8838648215002006,0.9220925820527416,0.8329113924050634,"[277, 251, 237, 205]",0.6228138128505833
25,128,64,4,4,4,0.0,1e-05,0.0001,68.38235294117648,87.09677419354838,85.18518518518519,80.07246376811594,0.5714900947459084,0.7518115942028983,0.8170068027210884,0.6240981240981243,0.6815819695664658,0.8752314814814816,0.897910592808552,0.8015873015873015,"[276, 245, 231, 190]",0.6216998294960646
37,64,64,2,2,4,0.0,1e-05,0.0001,66.72794117647058,80.44077134986226,83.9041095890411,77.55102040816327,0.5822566752799311,0.7201722017220168,0.7792792792792793,0.5739837398373981,0.6653028997990238,0.8010967609676097,0.8804912054912055,0.7853658536585366,"[271, 222, 205, 167]",0.6210157209791934
35,128,256,4,3,4,0.1,1e-05,0.001,70.58823529411765,81.77083333333334,85.35031847133759,80.22388059701493,0.5598621877691645,0.7835112692763938,0.8099173553719006,0.6086309523809524,0.6968705139247774,0.8293297746144722,0.8906434474616294,0.8098958333333333,"[281, 242, 224, 188]",0.6208980636723549
29,64,128,4,4,4,0.1,1e-05,0.001,69.30147058823529,81.6976127320955,84.74025974025975,75.09578544061303,0.5590008613264426,0.7579505300353357,0.7838214783821479,0.5818042813455656,0.6979471719781799,0.8243325480957989,0.8848874277744571,0.7519113149847094,"[283, 239, 218, 172]",0.620794273046296
26,128,256,2,4,4,0.2,1e-05,0.0001,66.91176470588235,83.79120879120879,83.27868852459017,71.65354330708661,0.5779500430663224,0.7637362637362637,0.8026499302649931,0.4946727549467274,0.6684467413149583,0.8515974765974766,0.8878162980673442,0.7173515981735161,"[273, 239, 219, 164]",0.6199130610278317
26,128,256,3,2,2,0.2,0.0001,0.0001,65.25735294117648,83.94366197183099,85.90604026845638,72.65625,0.5891472868217054,0.7973977695167284,0.8047419804741982,0.4947916666666663,0.6528567327016939,0.8595931433292028,0.9011655708308428,0.7343749999999999,"[269, 239, 224, 171]",0.6193679999555588
23,128,64,3,2,2,0.0,0.0001,0.001,67.83088235294117,80.48780487804879,87.54208754208754,82.6923076923077,0.5633074935400516,0.7494004796163067,0.8113475177304963,0.6234848484848484,0.6871805914441573,0.8233713029576339,0.9099088145896655,0.8356060606060607,"[278, 235, 220, 190]",0.619108620424267
18,128,256,2,3,4,0.1,1e-05,0.001,68.93382352941177,81.86666666666666,87.62214983713355,75.46468401486989,0.5633074935400517,0.743682310469314,0.8368200836820082,0.5643939393939394,0.6843382141831753,0.8406438026474128,0.8948495716278143,0.7583333333333334,"[277, 239, 220, 173]",0.6179524231581228
19,128,256,2,3,4,0.0,0.0001,0.0001,70.22058823529412,87.17277486910994,85.58558558558559,80.7017543859649,0.5546942291128337,0.775821596244131,0.8365885416666666,0.6408647140864717,0.6973011771461383,0.8876662754303599,0.8979631696428572,0.8256624825662483,"[284, 256, 239, 205]",0.6178759714019948
24,128,128,2,4,4,0.2,0.0001,0.0001,65.44117647058823,82.02247191011236,79.1095890410959,70.56277056277057,0.583118001722653,0.752168525402726,0.7320117474302494,0.4805414551607443,0.6558713752512202,0.8234923585295333,0.8385147891755822,0.7280033840947547,"[269, 227, 197, 153]",0.6173586518678355
15,128,64,2,2,2,0.0,1e-05,0.001,68.19852941176471,81.13207547169812,82.72425249169434,74.29718875502009,0.5658914728682172,0.7463768115942025,0.8088023088023086,0.5241545893719803,0.6786965259833477,0.8157105475040258,0.8593795093795095,0.7537037037037037,"[276, 231, 207, 163]",0.6171818739593432
22,128,64,4,2,2,0.1,0.0001,0.0001,65.99264705882352,78.27298050139275,81.85053380782918,76.52173913043478,0.5805340223944876,0.7527675276752767,0.7785285285285282,0.511608623548922,0.6585414872236577,0.7961767117671177,0.8671600171600172,0.7744610281923716,"[271, 222, 201, 162]",0.6170822286842162
19,64,256,4,2,4,0.0,0.0001,0.001,68.75,81.81818181818183,85.62091503267973,84.35114503816794,0.5590008613264426,0.7383512544802865,0.8497854077253217,0.6367127496159751,0.6853718059144416,0.8207387495021903,0.8951359084406296,0.8656682027649768,"[279, 233, 217, 195]",0.6157696000901758
24,64,128,4,3,4,0.0,0.0001,0.001,69.66911764705883,86.01583113456465,86.1963190184049,83.62989323843416,0.5426356589147288,0.7785467128027682,0.7970168612191959,0.6901709401709403,0.7112546655182314,0.8684640522875817,0.8830276079303317,0.8401709401709402,"[289, 257, 234, 202]",0.6156075002081183
30,64,256,2,3,4,0.1,0.0001,0.0001,63.97058823529412,87.06896551724138,83.4983498349835,73.91304347826086,0.5831180017226525,0.7867924528301884,0.816951566951567,0.5046082949308753,0.651435544071203,0.8666142557651991,0.8908628408628408,0.7453917050691244,"[265, 234, 217, 167]",0.6153864998470274
25,128,128,2,3,2,0.2,0.0001,0.0001,65.07352941176471,82.20338983050848,79.38144329896907,74.02597402597402,0.5796726959517656,0.7657992565055763,0.7110625909752545,0.547138047138047,0.6557421762848119,0.8295642296571665,0.8368059887710543,0.7575757575757575,"[269, 229, 198, 157]",0.6153654836421688
