#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
42,128,128,3,3,64,64,0.2,0.0001,0.001,0.47994467496542165,0.7081911262798634,0.7683615819209039,0.4803921568627449,0.6006224066390041,0.7997724687144482,0.8559322033898306,0.7083333333333334,"[293, 236, 204, 146]",0.10165975103734455,0.2921853388658368,0.1498616874135546
60,128,128,4,4,64,64,0.1,1e-05,0.001,0.4557399723374829,0.6115065243179123,0.678391959798995,0.47016460905349805,0.5745159059474412,0.7046263345195729,0.8015075376884422,0.6666666666666666,"[281, 199, 162, 108]",0.07468879668049788,0.2174965421853389,0.11065006915629322
38,64,64,3,2,128,64,0.2,0.0001,0.001,0.49654218533886574,0.6705170517051705,0.689033189033189,0.48445595854922274,0.6187759336099585,0.7623762376237624,0.8203463203463204,0.7176165803108808,"[303, 231, 193, 140]",0.09751037344398351,0.2797372060857538,0.1436376210235131
44,64,128,3,3,64,64,0.2,1e-05,0.001,0.42980636237897624,0.6923536439665471,0.7135176651305682,0.4681647940074906,0.5717496542185339,0.7759856630824373,0.804147465437788,0.6853932584269663,"[279, 217, 178, 122]",0.0843706777316736,0.24446749654218536,0.12475795297372061
37,128,64,3,4,128,64,0.2,0.0001,0.001,0.34647302904564314,0.46491228070175444,0.49537037037037046,0.3051948051948052,0.5058782849239281,0.5748987854251012,0.5208333333333334,0.38961038961038963,"[247, 144, 77, 30]",0.02074688796680498,0.05912863070539419,0.030497925311203322
57,64,64,4,3,128,64,0.2,1e-05,0.001,0.39280774550484077,0.56734693877551,0.6028138528138528,0.37758112094395274,0.5008644536652835,0.6244897959183674,0.724025974025974,0.5619469026548672,"[245, 154, 113, 64]",0.04426002766251727,0.12621023513139695,0.06500691562932226
20,64,128,2,2,32,128,0.2,0.0001,0.001,0.4709543568464731,0.7909090909090909,0.8090277777777777,0.6284461152882206,0.6773858921161827,0.8671717171717173,0.9114583333333334,0.8157894736842105,"[330, 288, 266, 218]",0.1524896265560167,0.4398340248962656,0.22503457814661135
57,128,128,3,4,128,64,0.1,0.0001,0.001,0.38865836791147984,0.6612244897959184,0.7219101123595506,0.3915525114155253,0.502939142461964,0.7210884353741497,0.8174157303370787,0.589041095890411,"[245, 178, 146, 87]",0.060165975103734365,0.17496542185338865,0.08907330567081605
49,64,64,4,4,128,128,0.1,1e-05,0.001,0.4329183955739971,0.5817120622568096,0.6638733705772814,0.4160583941605841,0.5259336099585062,0.6945525291828794,0.7486033519553073,0.6532846715328468,"[257, 179, 137, 90]",0.062240663900414855,0.18015214384508993,0.09197786998616873
28,64,128,2,4,32,128,0.1,1e-05,0.001,0.4674965421853388,0.755700325732899,0.6928763440860213,0.621212121212121,0.6319156293222684,0.8029315960912052,0.875,0.7909090909090909,"[307, 248, 220, 175]",0.12171507607192283,0.3502766251728907,0.17952973720608575
19,128,128,3,2,32,128,0.1,1e-05,0.001,0.4944674965421852,0.7422480620155036,0.8134502923976606,0.6342239185750635,0.7019363762102351,0.8270348837209303,0.9070175438596492,0.8301526717557252,"[344, 285, 262, 219]",0.1535269709543569,0.4412171507607192,0.2262793914246197
18,128,128,2,2,32,128,0.1,1e-05,0.001,0.451936376210235,0.7915407854984896,0.7890442890442894,0.6524547803617573,0.6761756569847855,0.8610271903323263,0.8933566433566433,0.8197674418604651,"[331, 286, 258, 212]",0.14799446749654233,0.4311894882434301,0.21936376210235134
28,128,128,3,3,64,128,0.1,0.0001,0.001,0.5110650069156293,0.7362459546925566,0.7153047989623866,0.5806938159879336,0.630359612724758,0.8300970873786407,0.8463035019455253,0.7828054298642534,"[309, 257, 221, 174]",0.12102351313969602,0.34474412171507607,0.17773167358229602
58,128,64,3,3,128,64,0.2,1e-05,0.001,0.4315352697095437,0.5881226053639846,0.6695075757575757,0.3485915492957747,0.5267980636237898,0.6704980842911877,0.7897727272727273,0.5633802816901409,"[261, 176, 142, 81]",0.056016597510373384,0.16044260027662516,0.08243430152143845
42,64,128,3,4,128,128,0.1,1e-05,0.001,0.4737206085753803,0.612884160756501,0.6691919191919193,0.38311688311688324,0.5755532503457814,0.700354609929078,0.7702020202020202,0.6233766233766234,"[282, 198, 154, 97]",0.06708160442600267,0.19363762102351315,0.09903181189488242
59,64,64,2,3,128,64,0.2,0.0001,0.001,0.46818810511756553,0.608303249097473,0.715,0.4084362139917698,0.5667358229598892,0.720216606498195,0.7975,0.6388888888888888,"[277, 200, 162, 104]",0.07192254495159053,0.2076417704011065,0.10605611539221498
65,128,64,3,4,64,64,0.1,1e-05,0.001,0.4799446749654216,0.6505952380952381,0.6958525345622121,0.47714285714285715,0.5696749654218535,0.7714285714285715,0.7972350230414746,0.7085714285714285,"[280, 217, 175, 125]",0.08644536652835412,0.2496542185338866,0.1276625172890733
14,64,128,2,2,64,128,0.1,1e-05,0.001,0.5027662517289071,0.7641025641025643,0.8002364066193857,0.5787760416666666,0.6649377593360996,0.8661538461538462,0.8971631205673759,0.783203125,"[325, 282, 256, 202]",0.14073305670816072,0.406984785615491,0.20795297372060859
35,128,128,4,2,128,128,0.1,1e-05,0.001,0.5103734439834026,0.6860587002096434,0.7311827956989246,0.5233644859813082,0.6460926694329184,0.7783018867924528,0.8528225806451613,0.7757009345794392,"[318, 248, 214, 168]",0.11687413554633498,0.3357538035961272,0.172268326417704
64,64,64,4,2,128,64,0.2,0.0001,0.001,0.5020746887966805,0.6649831649831648,0.7150297619047618,0.4607329842931936,0.6063278008298755,0.7525252525252525,0.8459821428571429,0.7303664921465969,"[297, 224, 191, 142]",0.09820193637621036,0.28284923928077454,0.14488243430152145
25,128,128,4,2,32,64,0.1,0.0001,0.001,0.4792531120331948,0.7359307359307361,0.7956577266922094,0.5776836158192089,0.6310511756569849,0.8441558441558441,0.8908045977011494,0.7733050847457628,"[308, 261, 236, 184]",0.1279391424619644,0.36791147994467494,0.18865836791148002
27,128,64,3,2,128,128,0.2,0.0001,0.001,0.537344398340249,0.6799591002044989,0.7206666666666666,0.5030721966205836,0.6659751037344398,0.7653374233128835,0.86,0.7465437788018433,"[326, 250, 217, 164]",0.11410788381742763,0.32641770401106496,0.16791147994467498
68,64,64,3,4,128,64,0.1,1e-05,0.001,0.4336099585062241,0.6234335839598998,0.656810035842294,0.35211267605633806,0.5430497925311203,0.6961152882205515,0.75,0.528169014084507,"[266, 186, 142, 76]",0.05255878284923923,0.15318118948824344,0.07786998616874136
27,64,128,2,2,64,64,0.2,0.0001,0.001,0.499308437067773,0.7030590717299577,0.7636718750000001,0.5416666666666664,0.6483402489626556,0.810126582278481,0.89453125,0.728448275862069,"[316, 256, 232, 172]",0.11894882434301549,0.3440525587828492,0.17579529737206084
