#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1,F1 nivel4,F1 promedio
25,128,64,3,3,32,128,0.2,0.0001,0.001,0.5221300138312585,0.7298301486199574,0.7263294422827498,0.5321375186846037,0.6399550484094053,0.8082271762208068,0.8450064850843061,0.7847533632286996,"[314, 257, 223, 177]",0.1244813278008301,0.3463865836791148,0.1807368288696089,0.5750693286309316,0.6342161119396527,0.6046427202852922
27,128,128,4,2,32,64,0.1,0.0001,0.001,0.4598893499308437,0.7305644302449414,0.7516087516087516,0.6014814814814814,0.6399550484094053,0.8162406815761449,0.8487773487773488,0.7622222222222222,"[313, 259, 225, 175]",0.1224066390041496,0.3409405255878285,0.1780774550484093,0.5351820887429122,0.6723785382340515,0.6037803134884818
24,128,128,3,2,32,64,0.2,1e-05,0.001,0.4785615491009684,0.7167721518987339,0.7395833333333334,0.5671191553544492,0.6441044260027662,0.8021624472573841,0.8463541666666666,0.7737556561085973,"[316, 256, 221, 173]",0.1217150760719228,0.3416320885200554,0.1775242047026279,0.5491279128900153,0.654515470634044,0.6018216917620296
28,64,64,2,2,32,64,0.2,1e-05,0.001,0.5020746887966805,0.7208333333333333,0.7696267696267696,0.5260869565217388,0.6479080221300137,0.8025520833333333,0.8712998712998714,0.7717391304347826,"[320, 259, 230, 180]",0.1275933609958509,0.3561549100968187,0.1857538035961272,0.5657445377029422,0.6256645546573445,0.5957045461801433
23,64,128,3,2,128,128,0.1,0.0001,0.001,0.5172890733056709,0.7247311827956987,0.7371541501976283,0.5165165165165163,0.630359612724758,0.8053763440860215,0.8642951251646904,0.7702702702702703,"[310, 253, 222, 172]",0.1230982019363764,0.343274550484094,0.1786621400729284,0.5682542817934546,0.6183733324923522,0.5933138071429034
23,128,128,3,2,128,128,0.1,0.0001,0.001,0.5172890733056705,0.7237945492662473,0.7535392535392538,0.5088888888888885,0.6434128630705395,0.806027253668763,0.8571428571428571,0.7622222222222222,"[318, 259, 225, 173]",0.121023513139696,0.3456950207468879,0.1775556393813655,0.5734985585185234,0.6103108003108,0.5919046794146616
26,64,128,3,3,64,128,0.2,1e-05,0.001,0.4979253112033195,0.731720430107527,0.7272135416666666,0.5352852852852852,0.6254322268326419,0.8171505376344086,0.8483072916666667,0.7454954954954955,"[310, 256, 222, 168]",0.1161825726141081,0.3322095435684647,0.1705016974726518,0.5544424204010798,0.6231398455900213,0.5887911329955506
73,64,128,4,3,128,64,0.2,0.0001,0.001,0.5152143845089905,0.6463815789473685,0.7132132132132133,0.513368983957219,0.6143672199170125,0.7181469298245614,0.8228228228228228,0.767379679144385,"[304, 222, 187, 146]",0.1016597510373445,0.2844917012448132,0.1478875895888344,0.5604390649277409,0.6151853795228471,0.587812222225294
27,128,128,4,2,32,64,0.2,1e-05,0.001,0.4889349930843704,0.7182795698924731,0.7795484727755644,0.5174242424242421,0.6301867219917012,0.8029569892473118,0.855245683930943,0.7568181818181818,"[310, 251, 220, 169]",0.1182572614107886,0.3311721991701245,0.1721614485099962,0.5506467016198149,0.6146335531293913,0.5826401273746031
53,64,128,4,3,32,64,0.2,0.0001,0.001,0.4695712309820195,0.6958195819581957,0.7478991596638657,0.5383411580594676,0.6140214384508991,0.7759625962596259,0.8704481792717086,0.7629107981220657,"[303, 238, 213, 164]",0.1147994467496544,0.3232192254495158,0.1673205079844084,0.5321682415102169,0.6312479003102599,0.5817080709102385
32,64,64,4,3,64,128,0.1,0.0001,0.001,0.5138312586445365,0.7492012779552712,0.7046019900497511,0.5022222222222219,0.6306189488243431,0.846059637912673,0.8289800995024875,0.7355555555555555,"[313, 268, 225, 167]",0.1175656984785618,0.3340248962655601,0.1724066390041494,0.5662661880522538,0.5968960702174344,0.581581129134844
36,128,64,4,2,64,64,0.2,0.0001,0.001,0.4944674965421851,0.7198924731182793,0.6761517615176154,0.513201320132013,0.6271611341632087,0.7832795698924732,0.7994579945799457,0.745049504950495,"[310, 246, 202, 152]",0.1058091286307055,0.2991009681881051,0.1549100968188105,0.5529651926649023,0.6077649732186333,0.5803650829417678
31,64,64,2,4,64,128,0.1,0.0001,0.001,0.4896265560165974,0.6904761904761905,0.7168141592920356,0.5219966159052452,0.5932745504840942,0.7633219954648527,0.8414454277286135,0.7639593908629442,"[294, 226, 197, 151]",0.1044260027662519,0.2958160442600276,0.1527366133175262,0.5364903095620513,0.6202144002137322,0.5783523548878917
44,128,128,4,2,64,64,0.2,1e-05,0.001,0.4972337482710928,0.7399565689467966,0.7339869281045749,0.5112107623318384,0.6216286307053942,0.8235070575461455,0.8581699346405229,0.7376681614349776,"[307, 255, 223, 168]",0.1168741355463349,0.329097510373444,0.1705016974726518,0.55251609114076,0.6039078664530516,0.5782119787969058
18,64,128,2,3,32,128,0.1,0.0001,0.001,0.4647302904564315,0.6861814345991563,0.7364672364672367,0.5210437710437708,0.6409923928077456,0.7307489451476794,0.8219373219373219,0.7474747474747475,"[316, 234, 198, 149]",0.1044260027662519,0.2939142461964038,0.1524204702627939,0.5388124624711812,0.6140502570495934,0.5764313597603873
40,64,128,2,3,32,64,0.1,1e-05,0.001,0.4107883817427387,0.7098765432098763,0.7682403433476394,0.5946398659966499,0.6043395573997234,0.7735690235690237,0.8340486409155937,0.7487437185929648,"[297, 233, 199, 151]",0.1044260027662519,0.2987551867219917,0.1535269709543568,0.489112079837092,0.6628529179563654,0.5759824988967287
35,128,64,4,2,128,128,0.1,1e-05,0.001,0.4896265560165976,0.7181616832779621,0.7184873949579834,0.5099009900990096,0.6084889349930843,0.7812292358803987,0.8333333333333334,0.754950495049505,"[301, 238, 202, 154]",0.1092669432918397,0.3028181189488243,0.1583301898654595,0.5426247859247154,0.6086880703725949,0.5756564281486551
37,128,64,4,2,128,128,0.1,0.0001,0.001,0.5172890733056708,0.6369636963696369,0.71996996996997,0.4749103942652329,0.6136756569847857,0.7257975797579759,0.8168168168168168,0.75,"[303, 222, 186, 141]",0.0988934993084371,0.279045643153527,0.1446058091286307,0.5613750869673557,0.5815654718361375,0.5714702794017466
31,128,128,4,4,32,128,0.2,0.0001,0.001,0.4923928077455046,0.7225877192982456,0.6764705882352943,0.5117845117845115,0.6136756569847855,0.7768092105263158,0.8158263305322129,0.7146464646464646,"[304, 238, 198, 143]",0.1016597510373445,0.2838001383125864,0.1478184332956117,0.5463847662657816,0.5964379553947156,0.5714113608302486
34,64,64,3,4,64,128,0.2,1e-05,0.001,0.4937759336099587,0.7087658592848906,0.6785185185185185,0.4898148148148145,0.5853215767634855,0.7686851211072665,0.7807407407407407,0.7666666666666667,"[289, 225, 180, 140]",0.0982019363762103,0.2765387275242046,0.1432541179429146,0.5356656006525723,0.59774011299435,0.5667028568234611
46,64,64,4,3,32,64,0.2,0.0001,0.001,0.491009681881051,0.7273768613974799,0.6760869565217391,0.4991364421416232,0.5880878284923929,0.7832187857961055,0.8181159420289855,0.7383419689119171,"[291, 230, 193, 144]",0.1016597510373445,0.2835408022130014,0.1478561549100968,0.5351820661438422,0.5956198995549028,0.5654009828493725
39,64,64,4,2,128,128,0.2,0.0001,0.001,0.4889349930843706,0.6585365853658537,0.7025993883792049,0.5009009009009007,0.5804806362378977,0.7526713124274099,0.8256880733944955,0.745945945945946,"[287, 218, 185, 139]",0.0975103734439835,0.2737724757952973,0.1419401483716836,0.5307895042537465,0.5993438525230431,0.5650666783883949
84,128,128,2,4,128,64,0.2,1e-05,0.001,0.412171507607192,0.6400462962962963,0.6691666666666665,0.5573248407643312,0.5839384508990318,0.6851273148148148,0.7566666666666666,0.7515923566878981,"[288, 200, 157, 119]",0.0836791147994467,0.2350449515905947,0.1218848233371054,0.4832454280806357,0.6400421528972369,0.5616437904889363
28,128,64,4,2,32,64,0.1,0.0001,0.001,0.4958506224066388,0.7116666666666667,0.7384937238493721,0.4783653846153843,0.6077973720608576,0.7877222222222222,0.8549511854951186,0.7043269230769231,"[300, 239, 208, 150]",0.1040802213001384,0.2945193637621023,0.152106123475418,0.5461464284704438,0.5697603971232018,0.5579534127968229
28,128,128,2,3,32,64,0.1,1e-05,0.001,0.4183955739972337,0.6957026713124274,0.724770642201835,0.5432432432432431,0.5825553250345781,0.752322880371661,0.8333333333333333,0.7378378378378379,"[287, 218, 185, 140]",0.0975103734439835,0.2755878284923928,0.1426002766251728,0.4870140380287345,0.6257612042422169,0.5563876211354757
55,64,128,3,3,128,64,0.2,0.0001,0.001,0.462655601659751,0.664451827242525,0.6872146118721462,0.4885714285714285,0.6081431535269709,0.7181063122923588,0.7800608828006089,0.7085714285714285,"[301, 219, 175, 126]",0.0878284923928078,0.2454183955739972,0.1276939519678108,0.5255158081337448,0.5783566314353903,0.5519362197845675
22,128,64,4,3,32,128,0.2,0.0001,0.001,0.5027662517289072,0.6815068493150686,0.6925287356321838,0.4635416666666666,0.5922372060857539,0.7853310502283105,0.8096264367816093,0.703125,"[292, 232, 192, 137]",0.0961272475795298,0.2713520055325034,0.1403495536275619,0.5438464657132304,0.5587332589285714,0.5512898623209008
27,64,128,3,4,32,128,0.2,0.0001,0.001,0.4515905947441216,0.71875,0.6840909090909093,0.485955056179775,0.5808264177040111,0.7560763888888888,0.7856060606060606,0.7528089887640449,"[288, 220, 178, 135]",0.0940525587828493,0.2693637621023513,0.1384508990318118,0.508119769921419,0.5906392519554636,0.5493795109384414
71,64,64,3,3,128,64,0.1,1e-05,0.001,0.4730290456431535,0.6453143534994067,0.6699507389162558,0.4708835341365462,0.5711445366528355,0.7132265717674972,0.7947454844006568,0.7198795180722891,"[281, 203, 166, 121]",0.0850622406639004,0.2385892116182572,0.1240663900414937,0.5174770932302866,0.5693482191836486,0.5434126562069677
79,64,64,4,2,128,64,0.2,1e-05,0.001,0.4834024896265561,0.6120789779326365,0.6458333333333333,0.4387096774193549,0.5808264177040111,0.6930894308943089,0.7541666666666668,0.7096774193548387,"[287, 200, 155, 112]",0.0788381742738588,0.2178423236514522,0.1143153526970954,0.5276551584438032,0.5422254440014499,0.5349403012226266
45,128,64,4,3,128,128,0.1,1e-05,0.001,0.4702627939142462,0.6560283687943262,0.6905864197530863,0.4638888888888889,0.5742565698478561,0.749822695035461,0.8140432098765432,0.6805555555555556,"[282, 216, 180, 124]",0.0885200553250346,0.2427385892116182,0.1280082987551867,0.517082800624404,0.5517125134843582,0.5343976570543811
56,64,128,4,2,128,64,0.1,1e-05,0.001,0.4896265560165974,0.6181716833890748,0.650641025641026,0.4407630522088354,0.6084889349930843,0.6836677814938684,0.780448717948718,0.6355421686746988,"[299, 208, 166, 107]",0.0760719225449515,0.2130013831258644,0.1109266943291839,0.5426247859247153,0.5205280075525985,0.5315763967386569
44,128,128,2,4,32,64,0.2,0.0001,0.001,0.3824343015214385,0.7053140096618359,0.7372093023255816,0.5187265917602996,0.5562759336099585,0.7762681159420289,0.8155038759689923,0.699438202247191,"[276, 215, 178, 126]",0.0871369294605809,0.2486168741355463,0.1280774550484094,0.4532580772245062,0.5956783459568697,0.524468211590688
