DB Accession Number,ATC Codes,DB SMILES,Neutralized SMILES
CHEMBL3707340,D01AE,Cc1c(Br)cc(Br)c(O)c1Br,Cc1c(Br)cc(Br)c(O)c1Br
CHEMBL3707368,D08AJ,CC1CCC(C(C)C)C(OC(=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC(=O)OC2CC(C)CCC2C(C)C)C1.[Cl-].[Cl-],CC1CCC(C(C)C)C(OC(=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC(=O)OC2CC(C)CCC2C(C)C)C1
CHEMBL254193,C02DB,N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2,N/N=c1/cc2c(n[nH]1)CCN(C(=O)c1ccccc1)C2
CHEMBL3989849,A03BB,C[N+]1(CC(=O)c2ccc(-c3ccccc3)cc2)[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2,C[N+]1(CC(=O)c2ccc(-c3ccccc3)cc2)[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2
CHEMBL3707234,A03AC,O=C(NC(Cc1ccccc1)c1ccccc1)c1cccnc1,O=C(NC(Cc1ccccc1)c1ccccc1)c1cccnc1
CHEMBL50588,P01AX,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
CHEMBL1370446,R01AA,Cc1sc2ccccc2c1CC1=NCCN1,Cc1sc2ccccc2c1CC1=NCCN1
CHEMBL314437,N02AX,CCC1(c2cccc(O)c2)CCCCN(C)C1,CCC1(c2cccc(O)c2)CCCCN(C)C1
CHEMBL3707370,R05DB,CCC1(CC)C(=O)CCNC1=O,CCC1(CC)C(=O)CCNC1=O
CHEMBL3305985,M03AA,C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69
