DB Accession Number,ATC Codes,DB SMILES,Neutralized SMILES
DB00642; D06503,L01BA,NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1,Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1
DB00643,P02CA,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
DB00645; ZINC000001530940; CHEMBL1201217,N01BX; R02AD,CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1,CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1
DB00646; CHEMBL450895,A07AA; D01AA; G01AA,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\CC\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/CC/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O
DB00647; ZINC000001530769; CHEMBL1213351,N02AC,CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C
DB00648; CHEMBL1670,L01XX,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
DB00649; ZINC000000137884; CHEMBL991,J05AF; J05AR,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O
DB00651; CHEMBL1752,R03DA; R03DB,CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O
DB00652; CHEMBL100116,N02AD,CC1C2CC3=C(C=C(O)C=C3)C1(C)CCN2CC=C(C)C,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C
DB00654; ZINC000012468792; CHEMBL1051,S01EE,CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](CC[C@@H](O)CCc2ccccc2)[C@H](O)C[C@@H]1O
DB00655; CHEMBL1405,G03CA; G03CC,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O
DB00656; ZINC000000538483; CHEMBL621,N06AX,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12
DB00657; CHEMBL267936,C02BB,CNC1(C)C2CCC(C2)C1(C)C,CNC1(C)C2CCC(C2)C1(C)C
DB00659; ZINC000001554588; CHEMBL1201293; D02780,N07BB,CC(=O)NCCCS(O)(=O)=O,CC(=O)NCCCS(=O)(=O)O
DB00661; CHEMBL6966,C08DA; C09BB,COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC
DB00662; ZINC000000538509; CHEMBL1201256,R06AA,COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC
DB00663; CHEMBL1201392,D07AB; D07BB; D07CB; D07XB; S02CA,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
DB00664; CHEMBL1525826,G01AE; J01ED; P01BF,COC1=NC=CN=C1NS(=O)(=O)C1=CC=C(N)C=C1,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1
DB00665; ZINC000003874498; CHEMBL1274,L02BB,CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
DB00666,H01CA,CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,CC(C)C[C@H](NC(=O)[C@@H](Cc1ccc2ccccc2c1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O
DB00668; ZINC000000039089; CHEMBL679,A01AD; B02BC; C01CA; R01AA; R03AA; R03AK; S01EA,CNC[C@H](O)C1=CC(O)=C(O)C=C1,CNC[C@H](O)c1ccc(O)c(O)c1
DB00669; ZINC000000014360; CHEMBL128,G01AE; N02CC,CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1
DB00670; CHEMBL9967,A02BX,CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
DB00671; ZINC000004468778; CHEMBL1541,J01DD; J01RA,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OCC(O)=O)\C1=CSC(N)=N1)C(O)=O,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1
DB00672; CHEMBL498,A10BB; G01AE,CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
DB00673; ZINC000027428713; CHEMBL1471; D02968,A04AD,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
DB00674; ZINC000000491073; CHEMBL659,N06DA,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
DB00675; ZINC000001530689; CHEMBL83,L02BA,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
DB00676; CHEMBL1239,P03AX,O=C(OCC1=CC=CC=C1)C1=CC=CC=C1,O=C(OCc1ccccc1)c1ccccc1
DB00678; ZINC000003873160,C09CA; C09DA; C09DB,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
DB00679; CHEMBL479,N05AC,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
DB00680; CHEMBL1075,C01BG,CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1,CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2
DB00681; CHEMBL267345,A01AB; A07AA; G01AA; J02AA,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O
DB00682; CHEMBL1464,B01AA,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
DB00683; ZINC000095626706; CHEMBL655,N05CD,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2
DB00684; ZINC000008214692; CHEMBL1747,J01GB; S01AA,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O
DB00685; CHEMBL428,J01MA,[H][C@@]12CN(C[C@]1([H])[C@H]2N)C1=NC2=C(C=C1F)C(=O)C(=CN2C1=C(F)C=C(F)C=C1)C(O)=O,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
DB00686,C05BA; G04BX,O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O,O=S(=O)(O)O[C@@H]1[C@@H](OS(=O)(=O)O)[C@H](O[C@@H]2CO[C@@H](O)[C@H](OS(=O)(=O)O)[C@H]2OS(=O)(=O)O)OC[C@H]1O
DB00687,H02AA; S01CA; S02CA; S03CA,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F
DB00690; ZINC000000537752; CHEMBL968,N05CD,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
DB00691; ZINC000003812306; CHEMBL1165,C09AA; C09BA,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC(OC)=C(OC)C=C2C[C@H]1C(O)=O,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1Cc2cc(OC)c(OC)cc2C[C@H]1C(=O)O
DB00692; ZINC000000020251; CHEMBL597,C04AB,CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1
DB00693,S01JA,OC1=CC=C2C(OC3=CC(O)=CC=C3C22OC(=O)C3=C2C=CC=C3)=C1,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
DB00694; ZINC000003917708; CHEMBL178,L01DB; L01XY,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
DB00695; ZINC000000035804; CHEMBL35,C03CA; C03CB; C03EB; G01AE,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
DB00696; ZINC000052955754; CHEMBL442,N02CA,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
DB00697; CHEMBL1079,M03BX,ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1,Clc1ccc2nsnc2c1NC1=NCCN1
DB00698; ZINC000003875368; CHEMBL572,J01XE,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1
DB00699; CHEMBL1372950,C04AE,[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@]1(C[C@@H](COC(=O)C1=CN=CC(Br)=C1)CN2C)OC,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13
DB00700; ZINC000003985982; CHEMBL1095097; D01115,C03DA,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13
DB00701; CHEMBL116,J05AE,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1
DB00703; CHEMBL19,G01AE; S01EC,CN1N=C(S\C1=N\C(C)=O)S(N)(=O)=O,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
DB00704; ZINC000000001773; CHEMBL19019,A08AA; N02AA; N07BB,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5
DB00705; ZINC000018516586; CHEMBL593,J05AG,CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1
DB00706; ZINC000001530694; CHEMBL836,G01AE; G04CA,CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
DB00708; ZINC000000538386; CHEMBL658,N01AH,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1
DB00709; ZINC000000012346; CHEMBL141; D00353,J05AF; J05AR,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
DB00710; ZINC000001533877; CHEMBL997,M05BA; M05BB,CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O
DB00711; CHEMBL684,P02CB,CCN(CC)C(=O)N1CCN(C)CC1,CCN(CC)C(=O)N1CCN(C)CC1
DB00712; CHEMBL563,M01AE; M02AA; R02AX; S01BC,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1
DB00713; ZINC000003875439; CHEMBL819,J01CF; J01CR,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1)C(O)=O,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O
DB00714; ZINC000000009073; CHEMBL53; D02004,G04BE; N04BC,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
DB00715; ZINC000000527386; CHEMBL490,N06AB,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
DB00716; ZINC000003782807; CHEMBL746,R01AC; R03BC; S01GX,CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12
DB00717; ZINC000085205451; CHEMBL1162,G03AA; G03AB; G03AC; G03DC; G03FA; G03FB; H01CC,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
DB00718; ZINC000003930376; CHEMBL922; D01655,J05AF,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
DB00719; CHEMBL946,R06AX,CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2,CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1
DB00720; CHEMBL12318,M05BA,OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,O=P(O)(O)C(Cl)(Cl)P(=O)(O)O
DB00721; CHEMBL569,C05AD; N01BA; S01HA,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,CCN(CC)CCOC(=O)c1ccc(N)cc1
DB00722; ZINC000003812863; CHEMBL419213,C09AA; C09BA; C09BB; C10BX,NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
DB00723; CHEMBL524,C01CA,COC1=CC(C(O)C(C)N)=C(OC)C=C1,COc1ccc(OC)c(C(O)C(C)N)c1
DB00724; ZINC000019632912; CHEMBL1282,D06BB,CC(C)CN1C=NC2=C1C1=C(C=CC=C1)N=C2N,CC(C)Cn1cnc2c(N)nc3ccccc3c21
DB00725,A03BB; A03CB,[Br-].C[N+]1(C)C2CCC1CC(C2)OC(=O)C(O)C1=CC=CC=C1,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2
DB00726; CHEMBL644,N06AA,CC(CN(C)C)CN1C2=CC=CC=C2CCC2=CC=CC=C12,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21
DB00727; ZINC000008214625; CHEMBL730,C01DA; C05AE,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
DB00728; ZINC000053229445; CHEMBL1200648; D00765,M03AC,[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1
DB00730; CHEMBL625,D01AC; P02CA,N1C2=CC=CC=C2N=C1C1=CSC=N1,c1ccc2[nH]c(-c3cscn3)nc2c1
DB00731; CHEMBL783,A10BX,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1
DB00734; ZINC000000538312; CHEMBL85,N05AX,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
DB00735,D01AE,CN(CC=CC1=CC=CC=C1)CC1=CC=CC2=CC=CC=C12,CN(CC=Cc1ccccc1)Cc1cccc2ccccc12
DB00736; CHEMBL1201320,A02BC; A02BD; M01AE,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
DB00737; CHEMBL1623,R06AE,CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1
DB00738; ZINC000001530775,P01CX,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
DB00739; CHEMBL1201116,J01CA; J01CR,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2N1C(=O)[C@H](NC1(C)C)C1=CC=CC=C1)C(O)=O,CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)O
DB00740; ZINC000000006481; CHEMBL744,N07XX,NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,Nc1nc2ccc(OC(F)(F)F)cc2s1
DB00741; ZINC000013540519; CHEMBL389621,A01AC; A07EA; C05AA; D07AA; D07BA; D07CA; D07XA; H02AB; R01AD; S01BA; S01BB; S01CA; S01CB; S02BA; S02CA; S03CA,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
DB00742; ZINC000002041302; CHEMBL689,A06AD; B05BC; B05CX; R05CB,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
DB00745; CHEMBL1373,N06BA,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1
DB00747; CHEMBL569713,A04AD; N05CM; S01FA,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
DB00748; CHEMBL864,R06AA,CN(C)CCOC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1
DB00749; CHEMBL622,M01AB,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
DB00750; CHEMBL1194,N01BB,CCCNC(C)C(=O)NC1=CC=CC=C1C,CCCNC(C)C(=O)Nc1ccccc1C
DB00751; CHEMBL1106,R06AX; S01GX,NC1=NCC2N1C1=CC=CC=C1CC1=CC=CC=C21,NC1=NCC2c3ccccc3Cc3ccccc3N12
DB00752,N06AF,NC1CC1C1=CC=CC=C1,NC1CC1c1ccccc1
DB00753; CHEMBL1256,N01AB,FC(F)OC(Cl)C(F)(F)F,FC(F)OC(Cl)C(F)(F)F
DB00754; CHEMBL1095,N03AB,CCN1C(=O)NC(C1=O)C1=CC=CC=C1,CCN1C(=O)NC(c2ccccc2)C1=O
DB00755; CHEMBL38,D10AD; L01XF,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
DB00756; ZINC000001530968; CHEMBL496,D08AE,OC1=C(CC2=C(O)C(Cl)=CC(Cl)=C2Cl)C(Cl)=C(Cl)C=C1Cl,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
DB00757; ZINC000103105084; CHEMBL2368925,A04AA,[H][C@@]1(C[C@@]2([H])C[C@]3([H])C[C@@]([H])(C1)N2CC3=O)OC(=O)C1=CNC2=C1C=CC=C2,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12
DB00758; ZINC000034781704; CHEMBL1771,B01AC,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
DB00759; ZINC000084441937; CHEMBL1440,A01AB; A02BD; D06AA; J01AA; J01RA; S01AA; S02AA; S03AA,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
DB00760; ZINC000003808779; CHEMBL127,J01DH,[H][C@]1([C@@H](C)O)C(=O)N2C(C(O)=O)=C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)[C@H](C)[C@]12[H],C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12
