#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precisionatn nivel1,Precisionatn nivel2,Precisionatn nivel3,Precisionatn nivel4,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
299,32,128,3,3,32,32,0.2,0.0001,0.0001,21.323529411764707,34.48275862068966,40.0,37.5,0.16709732988802764,0.2750809061488673,0.35135135135135137,0.3,0.24909560723514212,0.34951456310679613,0.40540540540540543,0.4,"[103, 37, 15, 6]"
208,32,32,4,4,128,32,0.2,1e-05,0.0001,27.573529411764707,28.000000000000004,26.190476190476193,27.27272727272727,0.1688199827734712,0.24661246612466123,0.28205128205128205,0.2727272727272727,0.303832902670112,0.3008130081300813,0.28205128205128205,0.2727272727272727,"[123, 39, 11, 3]"
199,32,128,2,3,32,32,0.0,1e-05,0.0001,23.897058823529413,33.84615384615385,50.0,59.09090909090909,0.16968130921619295,0.28448275862068967,0.5263157894736842,0.36363636363636365,0.28053402239448755,0.3275862068965517,0.5394736842105263,0.5909090909090909,"[116, 38, 22, 13]"
46,32,64,2,4,32,64,0.0,1e-05,0.001,29.044117647058826,44.936708860759495,64.7887323943662,56.52173913043478,0.169681309216193,0.42820512820512824,0.638888888888889,0.5238095238095238,0.3165374677002584,0.4465811965811966,0.6816666666666666,0.5833333333333334,"[130, 60, 42, 26]"
213,64,32,3,4,128,32,0.0,1e-05,0.0001,38.05147058823529,12.560386473429952,42.30769230769231,27.27272727272727,0.17054263565891492,0.14655172413793102,0.4230769230769231,0.2727272727272727,0.4230835486649441,0.13505747126436782,0.4230769230769231,0.2727272727272727,"[174, 26, 11, 3]"
64,128,128,3,4,32,32,0.2,1e-05,0.001,31.801470588235293,30.057803468208093,69.23076923076923,50.0,0.17226528854435835,0.30164319248826293,0.7318840579710144,0.4027777777777778,0.34427217915590014,0.30712050078247266,0.7572463768115941,0.5,"[142, 46, 36, 18]"
203,128,128,4,4,32,64,0.1,0.0001,0.0001,25.36764705882353,31.88405797101449,56.81818181818182,56.00000000000001,0.17226528854435835,0.2850877192982456,0.5416666666666666,0.4133333333333333,0.2801033591731266,0.33430799220272905,0.6125,0.56,"[114, 40, 25, 14]"
56,64,128,3,4,64,32,0.1,1e-05,0.001,31.066176470588236,37.278106508875744,57.14285714285714,72.22222222222221,0.17398794142980206,0.35952380952380947,0.6037735849056604,0.6527777777777778,0.3479758828596038,0.3611111111111111,0.6572327044025158,0.7222222222222222,"[140, 53, 36, 26]"
191,64,128,4,4,64,32,0.2,1e-05,0.0001,33.82352941176471,29.891304347826086,49.09090909090909,48.148148148148145,0.17398794142980206,0.3181818181818182,0.53,0.4074074074074074,0.3739879414298019,0.3059163059163059,0.52,0.48148148148148145,"[154, 50, 27, 13]"
162,128,64,4,4,128,32,0.1,1e-05,0.0001,31.433823529411764,33.33333333333333,47.368421052631575,51.85185185185185,0.1748492678725238,0.3438967136150235,0.5031446540880503,0.4382716049382716,0.34621016365202417,0.35641627543036,0.5,0.5185185185185185,"[142, 53, 27, 14]"
