n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1,F1 nivel4,F1 promedio
100,40,5,1,None,0.3419913419913419,0.5057224606580829,0.5874704491725768,0.5119047619047619,0.5674458874458874,0.5864091559370529,0.6678486997635933,0.5867346938775511,"[233, 141, 98, 58]",0.4267728970699267,0.5467713401149933,0.48677211859246
100,40,5,1,balanced,0.328138528138528,0.5007309941520469,0.53743961352657,0.5310077519379846,0.5504019789734075,0.5881578947368421,0.5966183574879228,0.562015503875969,"[228, 138, 86, 52]",0.41115485012429953,0.5460718016383529,0.4786133258813262
50,None,2,2,None,0.3653679653679653,0.4844173441734416,0.6576576576576575,0.4606060606060606,0.6030674087816945,0.573170731707317,0.701463963963964,0.5393939393939393,"[246, 148, 110, 62]",0.4550463934049721,0.4968962350780532,0.4759713142415126
50,20,5,2,None,0.3532467532467532,0.4820193637621026,0.6203703703703703,0.4822006472491909,0.5885281385281386,0.5734439834024896,0.699074074074074,0.5372168284789643,"[241, 144, 103, 60]",0.4414975509436552,0.5082241742435917,0.4748608625936235
500,40,5,2,balanced,0.3038961038961036,0.3924963924963924,0.6038011695906433,0.5311111111111111,0.5632467532467532,0.4665223665223665,0.6286549707602339,0.5777777777777778,"[231, 114, 75, 45]",0.39478730046350213,0.5534624805165886,0.47412489049004536
50,40,2,2,None,0.36017316017316,0.496513249651325,0.557109557109557,0.4596491228070175,0.5828324056895485,0.5776150627615063,0.6304195804195805,0.5403508771929824,"[239, 143, 95, 54]",0.4452160135799073,0.4967436134195136,0.47097981349971046
500,20,2,1,balanced,0.2995670995670994,0.5318181818181819,0.5625000000000001,0.5430711610486891,0.540426716141002,0.593939393939394,0.6230392156862744,0.5692883895131087,"[220, 136, 89, 55]",0.3854648947539167,0.5558708180431027,0.4706678563985097
100,None,2,2,None,0.3523809523809524,0.4952380952380955,0.6264367816091955,0.4488448844884488,0.5993320964749537,0.5833333333333334,0.678735632183908,0.5544554455445545,"[245, 145, 101, 58]",0.4438169996769535,0.49609171443460137,0.4699543570557774
50,40,5,2,None,0.3549783549783551,0.4865819209039546,0.5571095571095571,0.4722222222222223,0.5722077922077923,0.588276836158192,0.6386946386946387,0.5295138888888888,"[236, 143, 96, 55]",0.4381458489218319,0.4992297323319854,0.4686877906269087
500,40,5,1,balanced,0.3281385281385277,0.5167364016736402,0.5513698630136986,0.4946808510638298,0.5807606679035251,0.5877266387726638,0.5980593607305936,0.5390070921985816,"[239, 146, 94, 54]",0.4193423244216265,0.5158935805262582,0.46761795247394233
500,40,5,2,None,0.3471861471861471,0.5007062146892656,0.6122448979591837,0.4791666666666667,0.5692949907235622,0.599752824858757,0.6791383219954649,0.5240384615384616,"[236, 147, 104, 59]",0.431326573490614,0.5005990415335464,0.4659628075120802
50,20,2,2,None,0.3506493506493505,0.5351617440225034,0.5949227373068433,0.453968253968254,0.5822263450834878,0.6206047819971869,0.6561810154525387,0.5365079365079365,"[237, 151, 105, 59]",0.43769451979149265,0.4917989417989418,0.4647467307952172
100,None,5,1,None,0.3593073593073592,0.517687074829932,0.577991452991453,0.4575471698113207,0.5963141620284477,0.609546485260771,0.6474358974358975,0.5062893081761006,"[245, 156, 106, 57]",0.44842034653326096,0.4806857705685001,0.4645530585508805
100,40,5,2,None,0.3619047619047614,0.4889807162534435,0.6326530612244899,0.4271844660194175,0.5877118119975264,0.5943526170798897,0.6570294784580497,0.5145631067961165,"[242, 147, 103, 56]",0.4479612282156026,0.4668201381243119,0.45739068316995724
500,None,2,2,balanced,0.3038961038961038,0.4315068493150684,0.5812324929971988,0.510548523206751,0.536252319109462,0.5177321156773211,0.6400560224089635,0.529535864978903,"[219, 119, 79, 45]",0.38794333482081905,0.519868881642574,0.4539061082316965
50,None,5,2,balanced,0.3264069264069262,0.4361702127659574,0.5459317585301838,0.4493670886075948,0.5722077922077922,0.5180851063829788,0.5997375328083989,0.5337552742616033,"[235, 127, 79, 45]",0.41569002343643424,0.4879393708915086,0.4518146971639714
50,40,5,2,balanced,0.2779220779220775,0.5238095238095237,0.4780361757105943,0.511574074074074,0.5052875695732838,0.589047619047619,0.5413436692506459,0.5810185185185185,"[210, 129, 72, 45]",0.3586027616822354,0.5440893753923414,0.4513460685372884
50,None,5,2,None,0.3324675324675322,0.4653954802259887,0.606280193236715,0.4372759856630824,0.5826839826839828,0.5540960451977401,0.6437198067632851,0.4946236559139785,"[236, 138, 93, 47]",0.4233692513730355,0.46418527708850293,0.44377726423076924
100,40,5,2,balanced,0.2857142857142856,0.4892739273927393,0.576271186440678,0.4959349593495935,0.4873160173160172,0.5674917491749175,0.6652542372881356,0.5609756097560976,"[202, 118, 82, 49]",0.36022688181505436,0.5264540337711069,0.4433404577930806
50,None,2,2,balanced,0.301298701298701,0.5007610350076105,0.5521628498727736,0.4471544715447154,0.5301546072974644,0.5673515981735159,0.5947837150127225,0.5365853658536586,"[219, 131, 82, 45]",0.3842305827995247,0.4878048780487805,0.4360177304241526
100,20,5,1,balanced,0.276190476190476,0.4166666666666667,0.6171171171171171,0.4794520547945205,0.5169140383426098,0.4939814814814815,0.6366366366366365,0.541095890410959,"[216, 111, 73, 41]",0.3600199766444063,0.5084122460237197,0.434216111334063
50,20,5,1,balanced,0.2735930735930734,0.4381846635367762,0.551622418879056,0.4927536231884058,0.5043290043290043,0.5040688575899844,0.5737463126843658,0.5193236714975846,"[213, 113, 69, 38]",0.354742271269817,0.5056898758258104,0.43021607354781366
50,20,2,1,balanced,0.3004329004329002,0.4717391304347826,0.5790123456790123,0.4526515151515152,0.554186765615337,0.555862977602108,0.6203703703703703,0.4829545454545454,"[230, 135, 88, 44]",0.38963750540686953,0.4673122929701878,0.42847489918852866
100,20,5,2,balanced,0.2450216450216448,0.453658536585366,0.4672897196261682,0.5,0.4962770562770563,0.5034843205574913,0.4919003115264797,0.5087719298245614,"[205, 107, 57, 32]",0.32806915890307603,0.5043478260869565,0.41620849249501624
500,None,5,2,balanced,0.3125541125541123,0.4493392070484581,0.603359173126615,0.4137931034482758,0.5611997526283241,0.5337004405286344,0.6266149870801033,0.4463601532567049,"[227, 129, 87, 41]",0.40149817388609604,0.42946010291068265,0.41547913839838935
500,20,5,1,balanced,0.2831168831168829,0.4496124031007752,0.563768115942029,0.3949771689497717,0.5201855287569572,0.507170542635659,0.5802898550724638,0.4315068493150685,"[215, 115, 73, 34]",0.36666964611904307,0.41243472337849085,0.38955218474876696
500,20,5,2,balanced,0.2554112554112551,0.4216171617161716,0.5897435897435896,0.417910447761194,0.4865120593692022,0.4886138613861386,0.5879807692307693,0.4701492537313433,"[202, 104, 67, 33]",0.3349690011911083,0.4424934152765584,0.38873120823383334
500,20,2,2,balanced,0.2917748917748914,0.4200913242009133,0.5143678160919539,0.3725490196078431,0.5287878787878787,0.4971841704718417,0.555316091954023,0.3897058823529412,"[219, 116, 68, 29]",0.3760517333717014,0.38093436731605823,0.3784930503438798
50,20,5,2,balanced,0.2510822510822508,0.4371069182389938,0.6137071651090342,0.3896713615023474,0.5031478045763761,0.4846698113207547,0.6386292834890966,0.3967136150234742,"[212, 107, 71, 31]",0.33499456154610735,0.393160955784458,0.3640777586652827
50,20,2,2,balanced,0.2753246753246753,0.4099526066350711,0.4182389937106918,0.349673202614379,0.5097711811997527,0.4818325434439178,0.4481132075471698,0.3464052287581698,"[211, 106, 51, 20]",0.35754254410418257,0.3480315443861425,0.3527870442451625
