#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
35,128,64,2,3,2,0.1,0.0001,0.0001,0.2987012987012988,0.5146198830409356,0.7336448598130842,0.43703703703703706,0.4104761904761905,0.6208576998050682,0.8130841121495327,0.5257407407407407,"[171, 107, 90, 53]"
33,128,256,4,3,2,0.1,0.0001,0.001,0.28831168831168824,0.5889570552147241,0.6803030303030303,0.503831417624521,0.39056277056277067,0.6717791411042945,0.759090909090909,0.5586206896551724,"[163, 110, 87, 53]"
29,64,128,4,4,2,0.1,0.0001,0.001,0.2805194805194805,0.5345528455284553,0.7524752475247525,0.4823529411764706,0.3896753246753247,0.6097560975609756,0.8127062706270627,0.5637254901960784,"[164, 101, 85, 50]"
25,64,64,2,4,2,0.2,0.0001,0.001,0.28571428571428564,0.5349301397205588,0.7948717948717948,0.4644194756554309,0.40192640692640685,0.6117764471057885,0.8341346153846154,0.552434456928839,"[167, 104, 89, 57]"
16,128,64,2,4,4,0.2,0.0001,0.001,0.27099567099567107,0.5634920634920636,0.673611111111111,0.4399999999999999,0.34800865800865805,0.6371882086167799,0.7395833333333334,0.4946666666666667,"[147, 96, 75, 43]"
9,128,256,2,4,4,0.0,1e-05,0.001,0.3402597402597403,0.5918560606060607,0.8169398907103826,0.591743119266055,0.4195454545454546,0.6931818181818182,0.8490437158469946,0.753822629969419,"[176, 122, 109, 87]"
15,128,256,2,3,4,0.2,1e-05,0.001,0.2658008658008658,0.6020408163265306,0.7087542087542089,0.41666666666666674,0.35383116883116883,0.6643990929705216,0.7727272727272727,0.5223577235772358,"[147, 99, 82, 44]"
35,64,64,4,4,2,0.0,1e-05,0.0001,0.2588744588744588,0.4577777777777779,0.6882352941176471,0.2896174863387978,0.3618831168831169,0.5544444444444445,0.6686274509803921,0.39590163934426226,"[150, 85, 61, 27]"
55,64,128,2,3,2,0.1,1e-05,0.0001,0.23376623376623365,0.5602836879432623,0.685823754789272,0.42995169082125606,0.3321212121212121,0.6134751773049646,0.7423371647509578,0.5458937198067634,"[141, 87, 69, 40]"
16,128,256,4,3,4,0.0,1e-05,0.0001,0.24329004329004328,0.5636942675159237,0.7680412371134021,0.4279835390946502,0.37300865800865807,0.6125265392781316,0.7989690721649485,0.49094650205761314,"[157, 97, 81, 44]"
12,128,64,2,3,2,0.2,0.0001,0.001,0.27186147186147197,0.6087470449172577,0.6356209150326798,0.4620253164556962,0.33716450216450217,0.715130023640662,0.741830065359477,0.5189873417721519,"[141, 102, 79, 45]"
45,64,128,4,3,2,0.2,0.0001,0.0001,0.2216450216450217,0.46990740740740744,0.6869369369369369,0.3638888888888889,0.34510822510822514,0.5138888888888888,0.7646396396396395,0.3499999999999999,"[144, 74, 60, 25]"
29,128,256,2,3,2,0.1,1e-05,0.0001,0.27619047619047604,0.5687500000000001,0.7385620915032682,0.3869047619047619,0.373961038961039,0.628125,0.7761437908496732,0.531547619047619,"[160, 102, 84, 49]"
7,128,128,2,3,4,0.0,1e-05,0.001,0.283116883116883,0.5712851405622491,0.6622418879056047,0.5284552845528456,0.40006493506493507,0.678714859437751,0.7079646017699115,0.5772357723577235,"[166, 113, 82, 51]"
20,128,128,4,3,4,0.2,0.0001,0.0001,0.26753246753246757,0.5132850241545893,0.6833333333333333,0.2676767676767676,0.32292207792207794,0.5797101449275363,0.796875,0.37878787878787884,"[138, 80, 66, 29]"
22,128,64,2,3,4,0.1,1e-05,0.0001,0.2623376623376623,0.5473118279569893,0.7186379928315413,0.38675213675213665,0.36586580086580084,0.5935483870967742,0.7903225806451613,0.46260683760683763,"[155, 93, 78, 40]"
15,128,256,4,2,2,0.0,1e-05,0.001,0.16363636363636364,0.38524590163934425,0.5980392156862745,0.3787878787878788,0.2866666666666667,0.4139344262295082,0.5996732026143792,0.4393939393939394,"[122, 51, 33, 16]"
24,128,128,2,4,4,0.2,0.0001,0.0001,0.2406926406926407,0.5506756756756757,0.6902173913043478,0.3428571428571428,0.35235930735930737,0.617117117117117,0.7056159420289854,0.4166666666666667,"[148, 92, 70, 33]"
10,128,64,2,4,4,0.0,0.0001,0.001,0.3376623376623377,0.6327985739750446,0.7037037037037038,0.4691358024691358,0.4502813852813852,0.713903743315508,0.7796296296296297,0.5339506172839505,"[187, 135, 108, 62]"
