#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
40,64,128,4,4,2,0.2,1e-05,0.0001,0.2424242424242423,0.5407673860911272,0.5694444444444444,0.2777777777777778,0.3259307359307359,0.5892086330935252,0.6646825396825398,0.3684210526315789,"[139, 84, 57, 22]",0.27804282446677137
40,64,128,4,2,2,0.2,1e-05,0.0001,0.2450216450216449,0.55679012345679,0.5085470085470086,0.2040816326530612,0.321199752628324,0.5674074074074074,0.5833333333333334,0.336734693877551,"[135, 78, 49, 18]",0.2779862862695602
38,64,128,2,4,4,0.2,1e-05,0.0001,0.2320346320346321,0.5666666666666667,0.6287878787878788,0.2161458333333333,0.3264811379097093,0.6444444444444445,0.7045454545454546,0.2578125,"[135, 88, 64, 19]",0.27127230698849086
16,128,256,4,3,4,0.2,1e-05,0.0001,0.2303030303030302,0.5087064676616916,0.620253164556962,0.2555555555555556,0.317247990105133,0.5828358208955223,0.7056962025316457,0.2833333333333333,"[134, 79, 60, 19]",0.2668725680550978
24,64,64,4,3,4,0.2,1e-05,0.0001,0.2268398268398267,0.4865196078431372,0.5531400966183575,0.3235294117647059,0.32286951144094,0.5073529411764706,0.711352657004831,0.4019607843137255,"[136, 69, 51, 23]",0.2664668724609323
30,64,128,4,4,4,0.2,0.0001,0.001,0.2233766233766232,0.5304136253041362,0.4085365853658536,0.238095238095238,0.32995670995671,0.5948905109489051,0.5060975609756098,0.2976190476190476,"[137, 82, 42, 13]",0.266402225532252
33,64,256,4,3,4,0.1,0.0001,0.0001,0.2285714285714285,0.574074074074074,0.5781893004115227,0.3248587570621468,0.3006060606060606,0.6349206349206349,0.691769547325103,0.423728813559322,"[126, 81, 59, 26]",0.25968586387434556
25,128,256,4,3,2,0.1,0.0001,0.001,0.2086580086580086,0.4032634032634032,0.5435897435897435,0.2972972972972973,0.3370006184291899,0.451048951048951,0.5153846153846153,0.4459459459459459,"[143, 65, 37, 17]",0.2577357874219592
44,64,128,2,3,2,0.2,0.0001,0.0001,0.2112554112554113,0.5515587529976019,0.5714285714285714,0.2861111111111111,0.3299010513296228,0.6025179856115108,0.6865079365079365,0.3166666666666666,"[139, 84, 60, 23]",0.2575720224768851
39,64,128,2,3,2,0.1,0.0001,0.0001,0.2190476190476191,0.5773333333333333,0.5876068376068375,0.3050847457627119,0.299325912183055,0.614,0.7190170940170941,0.3813559322033898,"[125, 78, 59, 26]",0.2529705875502275
29,64,128,2,3,4,0.2,0.0001,0.0001,0.2259740259740259,0.4844236760124611,0.4277777777777778,0.2272727272727272,0.2600432900432901,0.5514018691588785,0.55,0.2878787878787879,"[107, 60, 33, 10]",0.24181454957263274
21,128,128,4,2,4,0.2,1e-05,0.001,0.1878787878787878,0.3031400966183575,0.4391025641025641,0.3958333333333333,0.3350525664811379,0.3768115942028985,0.4326923076923077,0.5,"[138, 52, 24, 12]",0.24075538611833222
26,128,128,4,4,4,0.2,1e-05,0.001,0.1731601731601731,0.5459317585301837,0.5821596244131456,0.4115646258503401,0.3049412492269635,0.5480314960629921,0.6157276995305164,0.4948979591836734,"[127, 71, 49, 27]",0.22088902917784414
20,128,128,4,4,2,0.0,1e-05,0.001,0.1549783549783549,0.3513513513513513,0.3076923076923077,0.5,0.2717316017316017,0.3513513513513513,0.3076923076923077,0.625,"[111, 39, 12, 9]",0.1973823950896082
29,128,256,4,4,4,0.2,1e-05,0.001,0.1549783549783549,0.4189189189189189,0.3538461538461538,0.217391304347826,0.2717316017316017,0.581081081081081,0.3538461538461538,0.217391304347826,"[111, 65, 23, 5]",0.1973823950896082
9,128,256,4,3,4,0.0,0.0001,0.001,0.135064935064935,0.2321428571428571,0.4230769230769231,0.4545454545454545,0.2715027829313543,0.2276785714285714,0.3653846153846153,0.5909090909090909,"[112, 26, 11, 7]",0.18039064157527232
