#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
32,64,64,3,4,32,128,0.1,0.0001,0.001,0.478561549100968,0.7449664429530201,0.7235772357723574,0.5558103975535168,0.601106500691563,0.8193512304250559,0.8760162601626016,0.7935779816513762,"[298, 246, 218, 175]",0.12171507607192283,0.3446576763485477,0.17770383143827126
19,64,64,3,2,32,128,0.1,1e-05,0.001,0.4861687413554633,0.758811681772407,0.8234265734265734,0.6616729088639202,0.6727178423236515,0.8614300100704935,0.9134615384615384,0.846441947565543,"[331, 286, 267, 228]",0.16217150760719218,0.4496715076071922,0.2343477753228791
67,64,64,4,3,128,64,0.1,1e-05,0.001,0.3962655601659753,0.5856950067476384,0.594949494949495,0.38888888888888895,0.49840940525587824,0.659919028340081,0.6787878787878788,0.618421052631579,"[247, 165, 114, 71]",0.04910096818810508,0.13969571230982022,0.07206085753803596
63,64,128,2,4,128,64,0.2,0.0001,0.001,0.40248962655601656,0.7050827423167849,0.6799687010954619,0.5174418604651163,0.5699861687413555,0.7523640661938534,0.7981220657276995,0.6918604651162791,"[282, 213, 172, 120]",0.0843706777316736,0.2391078838174274,0.12341434499110845
51,128,64,4,3,64,64,0.1,0.0001,0.001,0.450207468879668,0.6774193548387095,0.6416275430359937,0.5218253968253967,0.5639349930843707,0.7604540023894862,0.7699530516431925,0.7410714285714286,"[279, 213, 168, 126]",0.08782849239280781,0.24645573997233747,0.12763467514504856
47,64,128,3,3,128,128,0.1,1e-05,0.001,0.45643153526970953,0.7006920415224911,0.6803160919540232,0.5977312390924955,0.5829529737206085,0.7993079584775087,0.8103448275862069,0.7984293193717278,"[289, 232, 191, 155]",0.10719225449515925,0.3065352697095436,0.15743924125666864
17,128,64,4,2,32,128,0.1,1e-05,0.001,0.5262793914246192,0.7056213017751478,0.7848484848484847,0.5849802371541504,0.6866009681881052,0.8096646942800788,0.9030303030303031,0.8043478260869565,"[338, 275, 253, 205]",0.14661134163208858,0.407244121715076,0.21228197804961293
47,128,64,2,3,64,64,0.1,0.0001,0.001,0.44329183955739965,0.7249705535924614,0.6899717514124293,0.5549915397631132,0.5715421853388659,0.8286219081272085,0.826271186440678,0.7233502538071066,"[283, 236, 197, 144]",0.09958506224066403,0.2885546334716459,0.14713495356648884
23,128,128,3,2,64,128,0.2,1e-05,0.001,0.48616874135546356,0.7292292292292291,0.8042131350681534,0.6646174863387977,0.6811030428769018,0.8017017017017017,0.8912639405204461,0.8599726775956283,"[333, 269, 244, 213]",0.15145228215767645,0.4213001383125865,0.21885362217312423
53,128,64,3,3,128,128,0.2,1e-05,0.001,0.46887966804979253,0.7181712962962962,0.6659693165969316,0.47266313932980597,0.5840594744121714,0.8217592592592592,0.7789400278940027,0.6931216931216931,"[288, 239, 189, 133]",0.09197786998616882,0.26407330567081605,0.13520549298557596
49,64,128,2,4,64,64,0.1,1e-05,0.001,0.42876901798063605,0.7112860892388452,0.6841186736474696,0.44198312236286924,0.5113762102351314,0.744750656167979,0.8141361256544503,0.7025316455696202,"[254, 191, 158, 111]",0.07814661134163209,0.21957123098201936,0.1139102944082197
18,128,128,4,2,32,128,0.1,1e-05,0.001,0.4723374827109266,0.7546583850931674,0.7870036101083031,0.6812749003984064,0.6570712309820194,0.8565217391304348,0.8929602888086643,0.8632138114209827,"[322, 277, 251, 218]",0.15560165975103737,0.43316044260027664,0.2253493740008263
58,64,64,3,4,64,64,0.2,0.0001,0.001,0.3526970954356847,0.6751412429378528,0.6969696969696969,0.48850574712643685,0.4732538035961273,0.7415254237288136,0.8125,0.6689655172413793,"[236, 176, 145, 97]",0.06708160442600267,0.193118948824343,0.09879470460383322
20,128,128,3,2,64,128,0.1,0.0001,0.001,0.5006915629322268,0.768205128205128,0.7945041816009556,0.6062992125984252,0.6645919778699861,0.8501538461538461,0.8942652329749103,0.8162729658792651,"[325, 279, 254, 209]",0.14972337482710937,0.4133471645919779,0.21560327639165813
35,64,128,2,4,32,64,0.1,0.0001,0.001,0.35408022130013816,0.7484276729559749,0.7376543209876544,0.6098696461824953,0.5375172890733056,0.8111949685534591,0.8171296296296297,0.7541899441340782,"[265, 216, 179, 136]",0.095435684647303,0.2702973720608575,0.139562339458605
24,64,64,2,3,32,128,0.1,1e-05,0.001,0.4986168741355463,0.6998928188638803,0.7395013123359578,0.621212121212121,0.63067081604426,0.8129689174705251,0.8582677165354331,0.8181818181818182,"[311, 254, 220, 181]",0.13070539419087163,0.36376210235131395,0.18963643548705789
48,128,64,4,3,64,64,0.2,0.0001,0.001,0.43568464730290435,0.6919905771495878,0.685956790123457,0.5223463687150837,0.5729598893499308,0.7625441696113074,0.8125,0.6927374301675978,"[283, 216, 179, 127]",0.08921161825726144,0.245746887966805,0.12870480142264373
25,64,64,2,2,128,128,0.2,0.0001,0.001,0.5159059474412171,0.7448875255623721,0.7567901234567896,0.5511756569847854,0.6642461964038728,0.8245398773006135,0.8777777777777778,0.7946058091286307,"[326, 270, 241, 194]",0.1383125864453667,0.38725795297372057,0.20069829893481353
31,64,64,2,3,64,128,0.2,0.0001,0.001,0.5006915629322268,0.6809978768577496,0.736705577172503,0.6474074074074072,0.6365491009681881,0.8142250530785562,0.867704280155642,0.8244444444444444,"[314, 257, 225, 188]",0.13208852005532534,0.3760373443983403,0.1937462951985773
54,128,64,4,4,32,64,0.1,0.0001,0.001,0.414246196403873,0.7037037037037037,0.6727272727272728,0.5778985507246376,0.5799619640387276,0.7576388888888889,0.8272727272727273,0.7472826086956522,"[288, 220, 184, 138]",0.09751037344398349,0.27645228215767637,0.1427089508002371
36,64,64,3,2,32,64,0.2,1e-05,0.001,0.4868603042876901,0.7736240913811006,0.7997557997557997,0.604249667994688,0.6538727524204703,0.8482866043613707,0.9065934065934066,0.8027888446215139,"[321, 273, 251, 204]",0.145228215767635,0.4097337482710926,0.21176330585044278
36,128,64,4,2,128,64,0.1,0.0001,0.001,0.4363762102351311,0.6130268199233716,0.5945692883895131,0.41353383458646614,0.5274896265560166,0.678544061302682,0.7415730337078652,0.5827067669172933,"[261, 178, 133, 78]",0.05463347164591972,0.15369986168741356,0.07970756767437265
30,128,64,4,2,32,64,0.2,1e-05,0.001,0.4903181189488244,0.7247942386831276,0.7449494949494949,0.6023391812865495,0.656984785615491,0.8126543209876543,0.8494318181818182,0.8070175438596491,"[324, 264, 228, 185]",0.13139695712309848,0.36642461964038725,0.19014882075048048
23,64,128,4,2,64,128,0.2,0.0001,0.001,0.49619640387275243,0.7507788161993767,0.7462962962962961,0.619341563786008,0.6554287690179806,0.8384215991692627,0.8833333333333333,0.8292181069958847,"[321, 270, 243, 204]",0.14557399723374836,0.4047199170124481,0.2106963230407214
