#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1
25,64,128,2,4,32,128,0.1,0.0001,0.001,0.426002766251729,0.723404255319149,0.7375730994152048,0.588669950738916,0.5666090364223143,0.8033687943262412,0.8793859649122807,0.7561576354679803,"[282, 228, 203, 155]",0.107883817427386,0.2996772706316275,0.1566390041493775,0.4863472633488253
29,128,128,2,4,32,128,0.2,1e-05,0.001,0.3810511756569846,0.7316176470588235,0.7391975308641976,0.6621863799283151,0.5427501152604886,0.7884191176470587,0.8518518518518519,0.8198924731182796,"[272, 216, 186, 153]",0.1065006915629323,0.3001383125864454,0.1557399723374826,0.44774903768011454
40,128,64,2,2,128,64,0.2,0.0001,0.001,0.4910096818810512,0.6861111111111113,0.6940928270042194,0.5434027777777776,0.6001498386353159,0.7868333333333334,0.8037974683544303,0.7786458333333334,"[300, 237, 192, 151]",0.1065006915629323,0.297602581834947,0.1549792531120331,0.5401215419168779
36,64,128,4,4,64,128,0.2,1e-05,0.001,0.4405255878284924,0.7067901234567902,0.7292644757433492,0.5531914893617019,0.5420585523282619,0.7853703703703704,0.8755868544600939,0.8058510638297872,"[270, 213, 188, 152]",0.1058091286307055,0.3007146150299677,0.1549792531120331,0.48604623796141116
34,64,64,2,4,64,128,0.2,1e-05,0.001,0.4688796680497926,0.6992009132420093,0.7150072150072151,0.5597014925373133,0.5863185799907792,0.7878424657534246,0.86002886002886,0.7412935323383084,"[292, 231, 201, 151]",0.1058091286307055,0.2949054863992623,0.1536307053941908,0.5210639075036297
35,64,128,3,4,64,128,0.2,0.0001,0.001,0.4446749654218535,0.6913357400722021,0.7277526395173455,0.5717948717948717,0.5503573075149839,0.7951263537906137,0.8755656108597285,0.7692307692307693,"[277, 221, 195, 150]",0.1044260027662519,0.2952973720608575,0.1529737206085753,0.49190387758292303
32,128,64,4,4,32,128,0.1,0.0001,0.001,0.4460580912863072,0.7139393939393942,0.7061011904761905,0.5742659758203797,0.550875979714154,0.8101818181818182,0.8556547619047619,0.7694300518134715,"[275, 224, 193, 150]",0.1044260027662519,0.2955278930382665,0.1526970954356846,0.49295674647808546
39,128,64,2,3,32,64,0.1,1e-05,0.001,0.4218533886583677,0.6973995271867613,0.720183486238532,0.622103386809269,0.5669548178884278,0.7703900709219859,0.8509174311926605,0.7887700534759359,"[282, 218, 187, 148]",0.103734439834025,0.2921853388658367,0.151728907330567,0.4837577389809055
59,128,128,2,4,64,64,0.2,1e-05,0.001,0.4197786998616872,0.7055555555555555,0.709501557632399,0.5908289241622573,0.544017980636238,0.7898148148148149,0.8746105919003114,0.7619047619047619,"[270, 214, 189, 147]",0.1016597510373445,0.2874135546334716,0.1487206085753803,0.4738907390610215
23,128,128,4,2,64,64,0.1,1e-05,0.001,0.4322268326417703,0.7052238805970151,0.684126984126984,0.5462962962962961,0.53917704011065,0.7789179104477612,0.8547619047619047,0.7527777777777778,"[268, 210, 180, 138]",0.0961272475795298,0.2693637621023513,0.1403181189488243,0.4798144022627078
35,64,128,3,4,64,128,0.2,1e-05,0.001,0.4190871369294605,0.6935081148564295,0.737976782752902,0.5295238095238095,0.5368718303365607,0.7473782771535581,0.8582089552238806,0.7742857142857142,"[267, 201, 175, 136]",0.0947441217150761,0.2664822498847395,0.1381742738589211,0.47072329666471374
58,64,64,3,3,64,64,0.2,1e-05,0.001,0.4370677731673583,0.6918465227817744,0.6840442338072668,0.5386064030131826,0.5586560627017059,0.7537769784172662,0.8317535545023697,0.748587570621469,"[278, 211, 177, 134]",0.0933609958506225,0.2625633932687874,0.1358229598893499,0.49043831732393456
