n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
500,None,2,2,None,0.36514522821576734,0.5291529152915291,0.6088777219430486,0.5528169014084507,0.6127247579529738,0.6466446644664466,0.6993299832495812,0.6795774647887324,"[303, 199, 142, 97]"
50,40,2,1,None,0.3872752420470262,0.5395569620253167,0.638095238095238,0.6475583864118897,0.6407330567081604,0.6572784810126582,0.7349206349206349,0.7898089171974523,"[316, 210, 157, 125]"
100,40,5,2,balanced,0.2952973720608574,0.49145299145299165,0.5991820040899796,0.4828660436137072,0.5501383125864454,0.5813186813186813,0.640081799591002,0.5607476635514018,"[273, 163, 107, 60]"
500,40,2,2,balanced,0.3354080221300135,0.47368421052631576,0.6032196969696969,0.5501355013550134,0.612033195020747,0.5680921052631579,0.6856060606060606,0.6463414634146342,"[304, 176, 123, 80]"
100,20,5,1,None,0.35269709543568484,0.5333333333333333,0.5952380952380953,0.5691358024691358,0.601313969571231,0.6473333333333333,0.6802721088435373,0.6666666666666666,"[300, 196, 135, 90]"
50,None,2,2,balanced,0.28284923928077443,0.5185185185185186,0.5898989898989899,0.5045454545454545,0.5473720608575381,0.5903703703703704,0.6565656565656566,0.6090909090909091,"[270, 165, 110, 67]"
50,20,5,2,balanced,0.2524204702627936,0.4404309252217997,0.5352798053527981,0.32900432900432897,0.5269709543568465,0.5096324461343472,0.5571776155717761,0.36363636363636365,"[263, 137, 77, 28]"
100,None,5,2,balanced,0.30567081604426,0.4538369304556355,0.5880503144654089,0.5412698412698413,0.5601659751037344,0.5618705035971222,0.6373165618448637,0.6285714285714286,"[278, 159, 105, 67]"
100,40,2,2,balanced,0.30567081604426016,0.4921497584541062,0.6209349593495935,0.5666666666666668,0.5522130013831259,0.5822463768115942,0.6941056910569106,0.6753623188405796,"[276, 164, 115, 78]"
50,20,5,2,None,0.35684647302904576,0.4933774834437087,0.6827094474153298,0.5022988505747127,0.6071922544951591,0.6129139072847682,0.7602495543672014,0.6241379310344828,"[302, 187, 145, 92]"
500,40,2,1,balanced,0.3468188105117565,0.553131991051454,0.611965811965812,0.5719424460431655,0.6058091286307054,0.6466442953020134,0.6948717948717948,0.6942446043165468,"[298, 195, 139, 97]"
500,None,2,1,None,0.39764868603042897,0.5684713375796178,0.6292834890965733,0.5245398773006134,0.6383125864453666,0.6673036093418259,0.7523364485981309,0.6687116564417178,"[314, 214, 163, 109]"
