n_estimators,max_depth,min_samples_split,min_samples_leaf,class_weight,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
50,None,5,1,balanced,0.3201936376210235,0.5388692579505301,0.5456238361266293,0.5584045584045585,0.5743430152143845,0.6289752650176679,0.6471135940409684,0.6752136752136753,"[283, 179, 117, 79]",0.41116477161849246
100,None,5,1,balanced,0.313969571230982,0.4971264367816091,0.5994152046783626,0.6087570621468927,0.5881742738589211,0.5833333333333334,0.6773879142300194,0.7033898305084746,"[290, 171, 118, 83]",0.40939995451429695
500,40,2,2,balanced,0.3160442600276623,0.4916067146282973,0.5740740740740741,0.4722222222222222,0.5632780082987552,0.5743405275779376,0.6666666666666666,0.6003086419753088,"[278, 162, 108, 66]",0.4049045218915155
100,None,2,2,balanced,0.3084370677731676,0.486013986013986,0.5648702594810379,0.6064814814814815,0.5821230982019364,0.581002331002331,0.6397205588822354,0.7083333333333334,"[286, 167, 108, 77]",0.40322562888458746
50,None,5,2,balanced,0.3063623789764867,0.4923167848699762,0.5097465886939572,0.4983974358974359,0.5726141078838174,0.6016548463356973,0.601364522417154,0.5384615384615384,"[282, 171, 104, 56]",0.3991629422384438
50,40,2,2,balanced,0.3056708160442598,0.5076832151300237,0.562015503875969,0.494047619047619,0.5705394190871369,0.6004728132387707,0.6453488372093024,0.5833333333333334,"[282, 172, 112, 66]",0.39807170203080405
500,None,2,2,balanced,0.3015214384508985,0.4735915492957746,0.5160642570281124,0.5544217687074829,0.5767634854771784,0.5757042253521126,0.5903614457831325,0.6428571428571429,"[284, 166, 98, 63]",0.3960139837292118
100,None,5,2,balanced,0.3015214384508992,0.4851190476190475,0.5710059171597633,0.5623052959501558,0.5663900414937758,0.5994047619047619,0.626232741617357,0.6448598130841121,"[280, 169, 107, 69]",0.39353953480683085
100,40,5,2,balanced,0.3029045643153525,0.4738442822384427,0.5675105485232067,0.5493827160493827,0.5529045643153527,0.5754257907542579,0.669831223628692,0.6527777777777778,"[274, 158, 108, 71]",0.39138941280020106
500,20,2,1,balanced,0.2918395573997231,0.5213379469434833,0.5833333333333334,0.3833333333333333,0.5862724757952973,0.5922722029988466,0.6337209302325582,0.4727272727272727,"[289, 172, 110, 52]",0.38969401029433404
100,20,2,1,balanced,0.2766251728907329,0.487037037037037,0.5219298245614035,0.3674242424242424,0.5463347164591978,0.5546296296296296,0.5745614035087719,0.4659090909090909,"[270, 152, 88, 41]",0.3672838429977799
50,20,2,2,balanced,0.2752420470262793,0.4776119402985074,0.5686274509803921,0.4175438596491229,0.5423582295988935,0.568407960199005,0.6100217864923748,0.4947368421052631,"[268, 153, 95, 47]",0.36516570163731793
50,20,5,1,balanced,0.2690179806362373,0.4877450980392157,0.5616883116883117,0.3797250859106529,0.551002766251729,0.5625,0.6222943722943723,0.4329896907216495,"[272, 154, 97, 42]",0.36152658835660506
500,20,5,2,balanced,0.2697095435684644,0.5111940298507461,0.5031055900621118,0.3648148148148148,0.5375172890733058,0.5914179104477612,0.5559006211180124,0.4,"[268, 161, 90, 36]",0.3591891072839392
500,20,2,2,balanced,0.2565698478561544,0.4444444444444443,0.4571428571428571,0.3401826484018265,0.5465076071922546,0.5141975308641976,0.5095238095238096,0.3561643835616438,"[270, 140, 73, 26]",0.34920012446643894
100,20,5,2,balanced,0.2579529737206084,0.4588235294117647,0.5046296296296297,0.3523206751054852,0.5184993084370677,0.5535947712418301,0.5405092592592593,0.4050632911392405,"[255, 144, 79, 32]",0.3445116758798062
50,20,5,2,balanced,0.2593360995850619,0.4559620596205961,0.5269607843137254,0.4047619047619047,0.4989626556016597,0.540650406504065,0.6127450980392157,0.4345238095238095,"[246, 136, 84, 37]",0.34128772612972597
