#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precisionatn nivel1,Precisionatn nivel2,Precisionatn nivel3,Precisionatn nivel4,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
33,128,128,2,2,128,64,0.1,1e-05,0.001,62.68382352941176,79.47214076246334,80.44280442804428,74.77064220183486,0.5305770887166235,0.7263779527559057,0.7527646129541867,0.5723104056437387,0.6196095320126327,0.8048993875765529,0.8608271270593546,0.7624338624338624,"[254, 211, 189, 149]"
62,32,128,3,4,32,64,0.2,1e-05,0.001,59.375,79.56656346749226,80.54474708171206,69.56521739130434,0.4229112833763996,0.7827868852459016,0.701492537313433,0.6168582375478926,0.5861039333907551,0.799806466302368,0.8353470741530443,0.7245210727969349,"[244, 201, 174, 135]"
37,32,128,4,3,64,128,0.1,1e-05,0.001,61.94852941176471,84.27299703264094,83.09859154929578,76.69491525423729,0.5211024978466837,0.7621870882740447,0.7656012176560121,0.5968013468013468,0.6152598334768876,0.8457949055775141,0.8706784083496412,0.7885521885521886,"[253, 219, 198, 162]"
86,64,32,2,3,128,32,0.2,0.0001,0.001,46.69117647058824,63.38582677165354,72.04968944099379,48.275862068965516,0.43238587424633945,0.5512195121951219,0.6433823529411763,0.3460317460317461,0.4921188630490955,0.6403794037940379,0.7498249299719888,0.49047619047619045,"[205, 136, 105, 55]"
75,64,32,4,2,32,32,0.2,1e-05,0.001,60.29411764705882,74.39024390243902,75.40983606557377,65.76086956521739,0.5357450473729545,0.6859229747675962,0.6735395189003436,0.468944099378882,0.6091444157335629,0.7513833554670207,0.7904761904761904,0.6645962732919255,"[251, 194, 161, 112]"
36,128,64,2,4,64,128,0.0,1e-05,0.001,63.05147058823529,81.04956268221575,85.97122302158273,75.73221757322176,0.5262704565030144,0.7480000000000003,0.7523809523809523,0.6116838487972508,0.6194803330462245,0.8129222222222223,0.8903628117913834,0.7730240549828179,"[250, 210, 194, 157]"
128,128,128,2,2,32,64,0.1,1e-05,0.0001,59.00735294117647,77.88161993769471,78.8,74.11167512690355,0.44315245478036164,0.6843537414965986,0.7752136752136753,0.6204238921001927,0.5967843812805054,0.7858843537414966,0.84009768009768,0.7495183044315992,"[245, 195, 173, 133]"
70,128,128,4,2,64,128,0.2,1e-05,0.0001,64.52205882352942,82.62108262108262,84.48275862068965,74.28571428571429,0.48923341946597776,0.7641509433962264,0.8183856502242154,0.5942028985507245,0.6509187482055698,0.8213312368972746,0.8965833867179158,0.7491948470209339,"[265, 223, 207, 161]"
192,32,64,4,2,32,32,0.2,1e-05,0.0001,53.67647058823529,76.36986301369863,73.09417040358744,62.57668711656442,0.4401378122308353,0.6549192364170339,0.7009523809523809,0.5046620046620047,0.5525552684467413,0.757892804698972,0.7834421768707482,0.6468531468531469,"[227, 175, 143, 99]"
90,64,128,2,4,64,32,0.0,1e-05,0.0001,29.77941176470588,31.48148148148148,54.90196078431373,28.57142857142857,0.18518518518518523,0.30637254901960786,0.4965986394557823,0.26785714285714285,0.33010335917312655,0.34191176470588236,0.5714285714285714,0.2857142857142857,"[136, 49, 28, 8]"
