#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
15,128,256,4,3,2,0.0,0.0001,0.0001,0.5300207039337469,0.7607607607607608,0.7717770034843204,0.5927367055771727,0.6666666666666667,0.8543543543543544,0.8885017421602788,0.8300907911802853,"[333, 287, 257, 217]",0.5905420991926178
16,128,256,3,3,4,0.0,1e-05,0.0001,0.5220841959972398,0.7162698412698413,0.8350938967136148,0.6226415094339626,0.6792615596963424,0.8392857142857143,0.931338028169014,0.8314465408805031,"[336, 284, 265, 224]",0.5903907739885487
17,128,256,3,3,2,0.1,1e-05,0.0001,0.5472739820565905,0.7861635220125787,0.6954436450839326,0.5253772290809324,0.6399240855762596,0.8679245283018868,0.8669064748201439,0.8017832647462276,"[318, 278, 243, 199]",0.5899837812666459
27,64,128,4,3,4,0.0,0.0001,0.0001,0.5376121463077985,0.7543859649122805,0.7535714285714283,0.5701754385964909,0.6494133885438234,0.8617131062951496,0.8726190476190475,0.8279352226720648,"[323, 280, 247, 207]",0.588247708925161
17,128,128,4,3,2,0.0,0.0001,0.0001,0.5255348516218079,0.7322154471544717,0.8183990442054958,0.6038461538461541,0.663561076604555,0.8455284552845528,0.9247311827956988,0.8294871794871795,"[328, 279, 260, 218]",0.5865371559307817
15,128,256,4,4,2,0.0,0.0001,0.0001,0.5224292615596963,0.7772727272727274,0.7703455964325531,0.6134085213032582,0.6671842650103521,0.8944444444444444,0.8812709030100334,0.8151629072681703,"[330, 299, 266, 221]",0.5859996967226528
18,128,128,4,3,4,0.1,0.0001,0.0001,0.5307108350586613,0.74120082815735,0.7769516728624535,0.5330578512396691,0.6504485852311939,0.8297101449275361,0.8903345724907064,0.7968319559228649,"[322, 269, 242, 196]",0.5845106188054785
21,64,256,3,3,4,0.1,1e-05,0.001,0.5141476880607316,0.7417910447761193,0.770531400966184,0.6039136302294197,0.6761559696342306,0.8189054726368159,0.8864734299516909,0.8279352226720648,"[335, 276, 247, 207]",0.5841266240063798
30,64,256,4,3,4,0.1,1e-05,0.0001,0.5293305728088338,0.7173913043478259,0.7539062499999998,0.5141369047619044,0.6475155279503106,0.7864906832298135,0.8697916666666666,0.7730654761904763,"[322, 256, 224, 177]",0.5824886790064663
22,64,128,4,3,2,0.1,0.0001,0.001,0.5196687370600411,0.7428425357873211,0.7978339350180502,0.5898437500000002,0.6559696342305039,0.8425357873210633,0.9157641395908545,0.826171875,"[326, 277, 256, 214]",0.579917974259547
14,128,256,3,3,4,0.0,0.0001,0.0001,0.520013802622498,0.757948717948718,0.7926972909305061,0.6117571059431527,0.6545893719806763,0.8656410256410256,0.9045936395759716,0.844315245478036,"[325, 283, 258, 222]",0.5795923522766621
18,128,256,4,4,2,0.1,1e-05,0.0001,0.5182884748102139,0.7612474437627811,0.7752075919335704,0.5763612217795484,0.6571773636991028,0.8542944785276073,0.8879003558718861,0.8253652058432935,"[326, 281, 251, 211]",0.579527609144901
27,64,256,3,3,4,0.1,1e-05,0.0001,0.532781228433402,0.7454448017148981,0.7674271229404306,0.5021459227467807,0.630952380952381,0.8360128617363344,0.876425855513308,0.767525035765379,"[311, 263, 233, 181]",0.5777260051537292
21,64,256,4,3,4,0.1,0.0001,0.001,0.5189786059351275,0.7332301341589269,0.791208791208791,0.6481481481481483,0.6490683229813666,0.8369453044375644,0.9133089133089134,0.871031746031746,"[323, 273, 252, 223]",0.5767791774085526
23,64,256,4,3,2,0.1,0.0001,0.001,0.5127674258109038,0.7650356778797145,0.753262158956109,0.6013333333333335,0.6585576259489303,0.8527013251783894,0.8748517200474495,0.828,"[327, 281, 250, 208]",0.5765895608543881
22,128,128,4,4,2,0.0,0.0001,0.001,0.5017253278122841,0.7477611940298508,0.7961672473867597,0.6280101394169836,0.677536231884058,0.8467661691542289,0.9065040650406504,0.8174904942965779,"[335, 287, 263, 218]",0.5765253437655714
22,64,128,4,3,4,0.0,1e-05,0.0001,0.5169082125603862,0.7611630321910696,0.786060606060606,0.556693989071038,0.6483781918564527,0.8481308411214953,0.8812121212121212,0.8094262295081968,"[321, 275, 244, 200]",0.5752268471430062
15,128,128,3,4,2,0.0,1e-05,0.0001,0.5037957211870255,0.7766064257028116,0.8016147635524797,0.6100386100386104,0.6697722567287786,0.8644578313253012,0.8927335640138409,0.8429858429858429,"[332, 289, 259, 222]",0.5750470419429677
23,64,256,4,3,2,0.0,0.0001,0.0001,0.5127674258109038,0.7364583333333332,0.8037037037037033,0.5551075268817202,0.6451000690131126,0.8364583333333332,0.904320987654321,0.8084677419354839,"[320, 270, 248, 204]",0.5713716003895009
26,64,256,4,4,2,0.1,1e-05,0.0001,0.5258799171842647,0.747588424437299,0.7461832061068702,0.5224637681159415,0.6235334713595584,0.837620578778135,0.8708651399491095,0.7956521739130434,"[311, 262, 230, 187]",0.5705583970891424
30,64,128,3,4,4,0.1,1e-05,0.0001,0.5203588681849549,0.7486602357984994,0.7480916030534351,0.5303030303030298,0.6268115942028987,0.8370846730975348,0.873409669211196,0.7792207792207793,"[311, 262, 231, 185]",0.5686460424472678
27,64,128,3,3,2,0.0,0.0001,0.0001,0.5031055900621118,0.7347781217750256,0.7783816425120774,0.5887533875338754,0.6518288474810214,0.8462332301341589,0.8864734299516908,0.7994579945799459,"[323, 276, 246, 199]",0.5678915205421746
17,64,128,3,3,4,0.1,1e-05,0.001,0.5051759834368528,0.7655279503105589,0.7894424673784105,0.585958005249344,0.6475155279503106,0.8636128364389233,0.8997627520759193,0.8064304461942257,"[322, 281, 254, 209]",0.5675573913601284
