#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
22,128,128,4,3,4,0.1,1e-05,0.0001,0.5631469979296068,0.7566056910569104,0.7591283863368667,0.551232166018158,0.6581262939958593,0.8553353658536585,0.8851590106007066,0.8132295719844358,"[328, 283, 257, 212]"
18,64,128,3,4,2,0.1,1e-05,0.001,0.5472739820565905,0.7441025641025643,0.7274368231046932,0.5467224546722452,0.6546756383712905,0.843025641025641,0.8498796630565584,0.7949790794979079,"[325, 277, 239, 194]"
25,64,128,4,4,2,0.0,1e-05,0.0001,0.5452035886818493,0.7218813905930467,0.7270992366412216,0.5538793103448273,0.6546756383712906,0.7929447852760736,0.8715012722646309,0.8103448275862069,"[326, 262, 232, 192]"
16,64,256,4,4,4,0.1,0.0001,0.001,0.5148378191856452,0.7989417989417988,0.7512165450121655,0.5798898071625342,0.6302622498274673,0.8634920634920635,0.8643552311435522,0.8271349862258953,"[315, 274, 242, 202]"
15,128,128,3,3,2,0.1,1e-05,0.001,0.48999309868875085,0.7366325369738341,0.7567750677506774,0.4960127591706535,0.5820393374741201,0.8321956769055745,0.8350271002710028,0.7503987240829346,"[293, 246, 209, 160]"
19,128,128,4,3,2,0.1,0.0001,0.0001,0.5196687370600412,0.7833876221498366,0.7156133828996283,0.5654008438818564,0.6151656314699793,0.8686210640608035,0.8612143742255266,0.8164556962025317,"[307, 269, 237, 196]"
18,64,128,4,4,2,0.1,0.0001,0.001,0.5369220151828845,0.721881390593047,0.7487834549878343,0.5405982905982903,0.6609730848861284,0.8276511831726556,0.8445255474452555,0.7841880341880342,"[326, 274, 234, 188]"
17,128,256,3,3,2,0.1,0.0001,0.001,0.5514147688060728,0.7722048066875652,0.7502965599051008,0.5398110661268551,0.6454451345755693,0.8701074787281683,0.8594899169632265,0.815114709851552,"[319, 281, 247, 205]"
22,64,128,4,3,2,0.1,0.0001,0.001,0.5334713595583158,0.7643149284253578,0.7412755716004811,0.5624142661179695,0.6513975155279503,0.8416666666666667,0.8607099879663056,0.8305898491083676,"[326, 277, 243, 206]"
16,64,256,3,3,2,0.0,0.0001,0.001,0.49275362318840565,0.7638036809815949,0.7482014388489207,0.6854838709677422,0.6513975155279504,0.8421779141104295,0.8717026378896882,0.8864247311827957,"[326, 278, 248, 222]"
15,128,128,3,3,2,0.0,0.0001,0.001,0.5100069013112492,0.7564901349948077,0.7879353233830846,0.5957161981258368,0.6473429951690821,0.8218513573653762,0.9097636815920398,0.8159303882195448,"[321, 268, 249, 207]"
14,64,128,3,4,2,0.0,0.0001,0.001,0.5106970324361628,0.7743362831858406,0.736842105263158,0.6391076115485564,0.6801242236024846,0.832841691248771,0.8710526315789473,0.8398950131233596,"[339, 285, 254, 215]"
26,64,128,4,3,2,0.1,0.0001,0.0001,0.549344375431332,0.7521929824561405,0.6744791666666669,0.4589147286821703,0.6086093857832988,0.8366228070175439,0.8190104166666666,0.7186046511627907,"[304, 256, 215, 157]"
23,64,256,4,4,2,0.1,1e-05,0.0001,0.5231193926846098,0.777222222222222,0.6802325581395353,0.5157657657657655,0.5965320910973085,0.8519444444444445,0.8456072351421188,0.75,"[300, 258, 222, 170]"
17,128,256,4,3,4,0.1,0.0001,0.0001,0.5217391304347824,0.8027322404371581,0.7822384428223841,0.5446666666666664,0.611024844720497,0.8884699453551913,0.8941605839416058,0.818,"[305, 274, 250, 206]"
16,128,128,4,4,4,0.0,0.0001,0.0001,0.5134575569358174,0.7600619195046439,0.7494004796163071,0.6343669250645996,0.652864044168392,0.8523662096417514,0.9112709832134293,0.8242894056847545,"[323, 278, 258, 217]"
15,128,256,4,3,2,0.0,1e-05,0.0001,0.5514147688060731,0.711983887210473,0.7326007326007326,0.6280487804878049,0.6605417529330573,0.8159617321248742,0.8855311355311355,0.8482384823848239,"[331, 273, 246, 211]"
