#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
17,64,64,4,2,32,128,0.0,1e-05,0.001,0.4889349930843706,0.7830687830687832,0.7616487455197131,0.6017759562841533,0.6352005532503457,0.8825396825396825,0.8578255675029869,0.8169398907103824,"[315, 279, 244, 201]"
54,128,128,4,2,128,64,0.2,0.0001,0.001,0.47026279391424625,0.682853717026379,0.6973886328725039,0.5190217391304348,0.5554979253112033,0.7805755395683454,0.835637480798771,0.7644927536231884,"[278, 217, 184, 141]"
24,128,32,3,3,32,128,0.2,1e-05,0.001,0.4709543568464728,0.7220279720279721,0.7037037037037033,0.5792079207920792,0.5755532503457815,0.8146853146853147,0.8554131054131053,0.7887788778877888,"[286, 234, 202, 162]"
37,128,64,2,3,64,64,0.1,0.0001,0.001,0.4287690179806361,0.6948356807511739,0.7334869431643626,0.4782608695652173,0.571058091286307,0.7629107981220657,0.837173579109063,0.667572463768116,"[284, 217, 184, 124]"
17,64,64,4,2,64,128,0.0,0.0001,0.001,0.5038035961272477,0.7425742574257425,0.7128205128205128,0.5648567119155352,0.6096127247579529,0.8547854785478548,0.8384615384615385,0.8061840120663649,"[303, 260, 221, 180]"
21,32,32,2,2,32,128,0.2,0.0001,0.001,0.4979253112033191,0.7554858934169278,0.7417582417582417,0.6301652892561984,0.6440179806362378,0.8516196447230929,0.8742368742368744,0.8333333333333333,"[319, 273, 242, 204]"
72,64,64,3,4,64,64,0.1,1e-05,0.001,0.44674965421853374,0.679440389294404,0.6837209302325581,0.5455426356589146,0.5484094052558783,0.7828467153284672,0.7868217054263565,0.7693798449612403,"[274, 215, 172, 134]"
39,32,128,3,4,64,128,0.2,0.0001,0.001,0.45159059474412194,0.7522831050228315,0.7554200542005416,0.5124610591900312,0.5907676348547718,0.8424657534246576,0.8590785907859079,0.7087227414330219,"[292, 246, 214, 154]"
38,128,128,3,4,64,128,0.1,1e-05,0.001,0.4778699861687412,0.7135593220338985,0.7250351617440223,0.5451559934318553,0.5945712309820195,0.8016949152542373,0.8466947960618846,0.7791461412151067,"[295, 237, 203, 160]"
21,32,32,2,2,64,128,0.2,1e-05,0.001,0.5,0.7779552715654952,0.7426470588235294,0.5726141078838174,0.633817427385892,0.8674121405750799,0.8762254901960784,0.7793914246196403,"[313, 272, 241, 190]"
43,128,64,2,4,128,128,0.2,1e-05,0.001,0.4619640387275244,0.656641604010025,0.7050653594771243,0.49506903353057186,0.5369986168741356,0.7622180451127819,0.8218954248366013,0.7613412228796845,"[266, 204, 169, 132]"
25,32,32,2,3,32,128,0.2,0.0001,0.001,0.48824343015214366,0.7249455337690633,0.7405228758169935,0.5465465465465463,0.6173928077455049,0.8322440087145969,0.8575163398692811,0.7620120120120121,"[306, 255, 222, 171]"
54,32,32,3,2,128,64,0.2,1e-05,0.001,0.4135546334716457,0.6734693877551019,0.6764184397163121,0.40584415584415595,0.48979944674965425,0.7612244897959184,0.8147163120567376,0.5854978354978354,"[245, 188, 154, 93]"
53,64,64,3,2,128,64,0.0,1e-05,0.001,0.4426002766251731,0.7312801932367146,0.6813509544787077,0.5101851851851852,0.55567081604426,0.8170289855072463,0.7870778267254039,0.75,"[276, 227, 180, 137]"
23,32,64,3,2,32,64,0.0,1e-05,0.001,0.4661134163208851,0.7004504504504505,0.7507002801120447,0.5909822866344605,0.5935338865836792,0.8023648648648649,0.8599439775910364,0.7745571658615137,"[296, 238, 207, 163]"
23,32,64,2,2,64,64,0.1,1e-05,0.001,0.4661134163208851,0.7396551724137935,0.7186234817813767,0.5797788309636649,0.581777316735823,0.8454022988505747,0.8427800269905533,0.7748815165876777,"[290, 247, 211, 164]"
43,128,32,3,3,32,64,0.2,1e-05,0.001,0.4488243430152143,0.7206235011990407,0.7090773809523808,0.4809782608695649,0.5632780082987552,0.8057553956834532,0.8095238095238095,0.7291666666666666,"[278, 224, 184, 135]"
26,64,32,3,3,32,128,0.1,0.0001,0.001,0.48686030428769017,0.7094907407407409,0.712691771269177,0.5390243902439025,0.580567081604426,0.828125,0.8521617852161786,0.7528455284552844,"[288, 239, 205, 157]"
38,32,64,4,3,32,64,0.1,0.0001,0.001,0.4930843706777318,0.7663288288288288,0.6497975708502022,0.547250859106529,0.594225449515906,0.8327702702702703,0.7766531713900134,0.7878006872852235,"[296, 247, 194, 155]"
58,64,64,4,4,128,64,0.2,1e-05,0.001,0.3720608575380361,0.5548433048433049,0.6024774774774775,0.40429042904290424,0.46974412171507607,0.6303418803418803,0.6790540540540541,0.5924092409240924,"[234, 148, 101, 61]"
37,32,32,2,2,128,64,0.0,0.0001,0.001,0.4730290456431537,0.7179930795847753,0.6929078014184394,0.5228426395939083,0.5828146611341632,0.8114186851211073,0.8319148936170213,0.7419627749576988,"[289, 235, 197, 149]"
32,32,64,2,3,128,128,0.0,0.0001,0.001,0.4827109266943292,0.7309941520467836,0.7277777777777779,0.49362041467304607,0.5729598893499309,0.8385964912280702,0.8611111111111112,0.7272727272727273,"[285, 240, 209, 155]"
49,32,32,4,3,64,64,0.2,0.0001,0.001,0.43983402489626566,0.5997474747474749,0.6684303350970018,0.4908045977011495,0.5300829875518672,0.7140151515151515,0.7548500881834216,0.6942528735632183,"[264, 189, 145, 102]"
33,64,32,3,4,32,64,0.0,0.0001,0.001,0.3858921161825727,0.6914323962516733,0.7153153153153152,0.4824561403508771,0.5044951590594744,0.7409638554216867,0.8090090090090091,0.6973684210526315,"[249, 185, 152, 107]"
34,64,128,2,3,64,64,0.0,0.0001,0.001,0.46542185338865827,0.7053376906318085,0.7213225371120106,0.537842190016103,0.6217150760719224,0.803921568627451,0.8191632928475034,0.7206119162640902,"[306, 247, 207, 151]"
34,32,32,4,2,32,64,0.1,0.0001,0.001,0.48616874135546306,0.7236559139784946,0.7198162729658792,0.5668202764976956,0.6253457814661133,0.817741935483871,0.8438320209973754,0.7734254992319509,"[310, 254, 217, 169]"
30,64,64,2,3,128,128,0.0,0.0001,0.001,0.48201936376210247,0.6863387978142078,0.7430555555555556,0.5700483091787437,0.6149723374827109,0.7852459016393443,0.8493055555555554,0.7705314009661836,"[305, 240, 207, 161]"
22,128,128,2,3,32,128,0.1,0.0001,0.001,0.4626556016597512,0.7342047930283225,0.7989623865110246,0.5757575757575756,0.6173928077455049,0.8398692810457516,0.8845654993514916,0.7748917748917749,"[306, 257, 231, 181]"
27,32,64,2,4,64,128,0.0,0.0001,0.001,0.45020746887966767,0.6991869918699188,0.6958146487294469,0.52367941712204,0.575899031811895,0.7740998838559814,0.8094170403587444,0.755009107468124,"[287, 223, 183, 141]"
15,32,64,3,2,32,128,0.1,1e-05,0.001,0.4792531120331948,0.7643678160919539,0.7925790754257908,0.599732262382865,0.6440179806362378,0.8557993730407524,0.8959854014598541,0.8038821954484606,"[319, 274, 249, 201]"
48,64,64,4,3,64,64,0.0,1e-05,0.001,0.41908713692946037,0.6647940074906369,0.7037953795379536,0.4261477045908184,0.5335408022130014,0.7528089887640449,0.8226072607260727,0.6287425149700598,"[267, 202, 167, 107]"
46,128,64,4,4,32,64,0.2,0.0001,0.001,0.4128630705394189,0.699626865671642,0.6857142857142858,0.4748995983935742,0.539764868603043,0.7798507462686567,0.7753968253968254,0.6586345381526105,"[268, 210, 166, 111]"
75,128,128,4,3,128,64,0.0,1e-05,0.001,0.44674965421853374,0.6530732860520096,0.6272141706924315,0.42414529914529925,0.5688105117565699,0.7322695035460993,0.7399355877616748,0.6292735042735043,"[282, 207, 156, 101]"
