#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
19,64,128,2,2,64,128,0.2,0.0001,0.001,0.5055325034578145,0.7625502008032128,0.823356807511737,0.6003787878787882,0.674792531120332,0.8463855421686747,0.9178403755868543,0.8068181818181818,"[332, 284, 264, 216]",0.15145228215767645,0.43032503457814664,0.22168543766054136
28,64,64,4,4,32,128,0.1,0.0001,0.001,0.49308437067773153,0.6989966555183944,0.7339055793991414,0.5406698564593299,0.6045988934993083,0.7709030100334447,0.8848354792560801,0.7751196172248804,"[299, 233, 209, 164]",0.11618257261410816,0.3229598893499308,0.1686030428769018
39,128,64,4,3,64,128,0.1,1e-05,0.001,0.5228215767634854,0.69916142557652,0.6996124031007751,0.5978593272171252,0.6459197786998616,0.8021488469601677,0.8430232558139535,0.8134556574923548,"[318, 258, 218, 180]",0.12793914246196433,0.3594398340248963,0.1864848844101956
19,128,128,3,2,32,128,0.1,0.0001,0.001,0.520055325034578,0.7311365807067812,0.8082191780821919,0.633828996282528,0.7143845089903182,0.8292741165234001,0.9098173515981736,0.8116480793060719,"[349, 292, 269, 222]",0.15802213001383128,0.44087136929460574,0.2295396166765462
43,64,64,2,3,128,64,0.2,1e-05,0.001,0.4446749654218534,0.5165441176470588,0.630392156862745,0.4487179487179488,0.5465076071922544,0.6176470588235293,0.7588235294117647,0.6038461538461538,"[272, 170, 130, 80]",0.05601659751037339,0.15577455048409405,0.08115984983204899
64,64,64,2,4,128,64,0.1,1e-05,0.001,0.46542185338865844,0.6164302600472814,0.7422003284072247,0.4109195402298851,0.5731327800829875,0.7109929078014183,0.8522167487684729,0.5890804597701149,"[282, 203, 174, 104]",0.07330567081604422,0.2052213001383126,0.10654020944477377
30,64,128,2,2,64,64,0.2,0.0001,0.001,0.48962655601659744,0.7435500515995871,0.7796504369538078,0.5593220338983047,0.656984785615491,0.8206914344685243,0.8732833957553058,0.7810734463276835,"[323, 267, 236, 188]",0.1320885200553254,0.36912171507607194,0.1920173878680103
46,64,128,2,2,128,64,0.2,1e-05,0.001,0.5041493775933611,0.714733542319749,0.7483660130718954,0.5533333333333329,0.6447095435684648,0.7884012539184952,0.8692810457516339,0.8066666666666666,"[319, 255, 225, 183]",0.13070539419087168,0.36237897648686035,0.18955739972337482
58,64,64,4,4,32,64,0.1,0.0001,0.001,0.44260027662517304,0.6689734717416378,0.7376543209876544,0.5353260869565216,0.5828146611341631,0.7416378316032295,0.8356481481481481,0.7391304347826086,"[289, 216, 184, 137]",0.09543568464730302,0.2684993084370678,0.13911282355265756
44,128,128,2,4,64,64,0.1,0.0001,0.001,0.44121715076071927,0.6513545347467611,0.7488372093023254,0.5587719298245613,0.5731327800829875,0.7526501766784451,0.8682170542635659,0.7131578947368421,"[283, 215, 190, 136]",0.09474412171507615,0.27074688796680496,0.13900414937759337
44,64,128,4,3,128,128,0.1,0.0001,0.001,0.48616874135546323,0.6874298540965207,0.7622126436781607,0.5529225908372823,0.6007952973720608,0.7693602693602694,0.9008620689655172,0.7946287519747235,"[297, 232, 211, 169]",0.12171507607192282,0.334716459197787,0.1755285516696305
23,128,128,2,2,128,128,0.2,1e-05,0.001,0.5262793914246195,0.7633744855967075,0.7458033573141487,0.5998650472334683,0.6599239280774551,0.8472222222222222,0.8812949640287769,0.8319838056680162,"[324, 278, 247, 207]",0.15041493775933615,0.4144190871369295,0.21732859118751235
26,128,128,2,3,32,128,0.1,1e-05,0.001,0.47856154910096815,0.7510288065843619,0.7600000000000001,0.6611341632088523,0.656984785615491,0.84130658436214,0.8642424242424243,0.8457814661134163,"[324, 275, 241, 207]",0.14522821576763503,0.41130705394190875,0.21221102548903378
33,128,128,4,3,64,128,0.2,1e-05,0.001,0.5110650069156291,0.688473520249221,0.7362204724409448,0.5874074074074072,0.6462655601659754,0.7868639667705088,0.8759842519685039,0.8022222222222222,"[321, 254, 225, 182]",0.1286307053941912,0.3580567081604426,0.186494763880656
44,64,128,3,4,128,128,0.2,1e-05,0.001,0.43153526970954365,0.5520833333333333,0.6677148846960168,0.34305555555555567,0.48392116182572614,0.65625,0.7421383647798742,0.6125,"[240, 159, 120, 74]",0.051867219917012396,0.14540110650069155,0.0753507212013436
28,64,128,3,3,128,128,0.2,0.0001,0.001,0.4439834024896264,0.628731343283582,0.704663212435233,0.47983014861995743,0.5416666666666666,0.7139303482587065,0.7953367875647669,0.7070063694267515,"[268, 193, 157, 112]",0.07883817427385892,0.21836099585062238,0.11407824540604622
