#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
32,128,128,4,2,64,64,0.1,1e-05,0.001,0.4661134163208852,0.7382550335570468,0.7038567493112948,0.5186084142394819,0.6011410788381742,0.8031319910514542,0.8402203856749312,0.7338187702265372,"[298, 242, 206, 153]",0.5250854847068582
30,32,32,4,4,32,128,0.1,1e-05,0.001,0.475103734439834,0.7247386759581882,0.6745014245014241,0.557788944723618,0.5786652835408023,0.8077816492450639,0.8454415954415954,0.7738693467336684,"[287, 234, 199, 155]",0.5217956354947086
38,32,32,2,3,32,64,0.1,1e-05,0.001,0.4730290456431538,0.7202797202797202,0.6436011904761906,0.5443840579710143,0.571058091286307,0.7744755244755245,0.8147321428571429,0.7771739130434783,"[286, 224, 184, 144]",0.5174416087959386
33,64,128,3,4,64,128,0.0,0.0001,0.001,0.4633471645919773,0.7047289504036909,0.7314410480349344,0.5555555555555555,0.580567081604426,0.7848904267589389,0.8682678311499271,0.7835820895522388,"[289, 229, 201, 158]",0.5153758789996227
43,64,32,3,3,128,128,0.1,0.0001,0.001,0.4716459197786999,0.6198102016607352,0.6551724137931035,0.5210843373493975,0.5643153526970954,0.7096678529062871,0.8136288998357964,0.7289156626506024,"[281, 203, 166, 122]",0.5138358752195181
49,32,32,3,3,64,64,0.1,0.0001,0.001,0.4522821576763486,0.7183507549361208,0.7048022598870054,0.578099838969404,0.5736514522821576,0.8173635307781649,0.8714689265536723,0.754428341384863,"[287, 236, 207, 159]",0.5057877314358358
36,128,64,2,4,32,128,0.2,0.0001,0.001,0.4363762102351315,0.767711962833914,0.6936170212765959,0.6130653266331657,0.5771092669432919,0.8095238095238095,0.8347517730496453,0.8040201005025126,"[287, 235, 199, 161]",0.49697161029166453
60,128,32,2,3,128,64,0.2,0.0001,0.001,0.4515905947441219,0.6357575757575759,0.6440536013400334,0.4596949891067537,0.5470262793914246,0.7157575757575758,0.7571189279731995,0.6721132897603486,"[275, 199, 153, 104]",0.4947481446573412
50,64,128,3,3,128,64,0.0,0.0001,0.001,0.4453665283540801,0.6884848484848484,0.6855345911949686,0.4914772727272726,0.5508298755186722,0.7630303030303031,0.8199685534591195,0.712121212121212,"[275, 212, 176, 126]",0.4925157095925371
75,64,32,2,4,128,64,0.1,1e-05,0.001,0.4280774550484095,0.6853864734299514,0.7107371794871795,0.5388257575757576,0.5561894882434303,0.7457729468599034,0.8373397435897437,0.7263257575757576,"[276, 208, 176, 130]",0.4837959504270976
