#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precisionatn nivel1,Precisionatn nivel2,Precisionatn nivel3,Precisionatn nivel4,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
26,64,128,4,2,4,0.2,0.0001,0.001,16.544117647058822,62.22222222222222,51.78571428571429,48.275862068965516,0.18949181739879414,0.5291666666666667,0.40522875816993476,0.3076923076923077,0.18763996554694232,0.6375,0.5098039215686274,0.5,"[80, 51, 26, 14]"
81,32,64,2,2,4,0.1,0.0001,0.0001,24.63235294117647,57.46268656716418,66.23376623376623,43.13725490196079,0.19035314384151597,0.5423976608187134,0.5298507462686568,0.37209302325581395,0.2784237726098191,0.5789473684210527,0.6343283582089553,0.4186046511627907,"[114, 67, 43, 21]"
34,64,128,2,4,2,0.2,0.0001,0.0001,24.080882352941178,69.46564885496184,61.53846153846154,32.142857142857146,0.19465977605512497,0.5401785714285714,0.6038961038961039,0.2833333333333333,0.2686046511627907,0.6770833333333334,0.6233766233766234,0.32666666666666666,"[112, 77, 50, 18]"
61,32,128,2,3,2,0.2,0.0001,0.0001,28.676470588235293,55.769230769230774,56.32183908045977,32.6530612244898,0.19552110249784663,0.484126984126984,0.5162037037037037,0.3055555555555556,0.30598621877691645,0.54673721340388,0.5694444444444444,0.34523809523809523,"[126, 72, 42, 16]"
75,32,64,3,2,2,0.2,0.0001,0.0001,22.058823529411764,55.00000000000001,60.60606060606061,22.5,0.19638242894056843,0.548611111111111,0.47126436781609193,0.19444444444444445,0.22919896640826873,0.5879629629629629,0.5948275862068966,0.2361111111111111,"[96, 58, 36, 9]"
49,32,64,4,2,4,0.1,0.0001,0.0001,20.955882352941178,64.03508771929825,64.38356164383562,34.04255319148936,0.19896640826873385,0.5952380952380952,0.47656250000000006,0.32926829268292684,0.2330749354005168,0.6479591836734694,0.640625,0.32926829268292684,"[98, 64, 41, 15]"
23,128,128,4,2,2,0.0,1e-05,0.001,33.63970588235294,42.07650273224044,42.857142857142854,33.33333333333333,0.19982773471145568,0.3412698412698413,0.4307692307692308,0.30357142857142855,0.35796726959517655,0.4342403628117914,0.4076923076923077,0.29761904761904756,"[147, 65, 28, 10]"
63,32,256,4,4,4,0.1,0.0001,0.0001,28.308823529411764,59.09090909090909,73.62637362637363,55.223880597014926,0.2032730404823428,0.53125,0.6385281385281385,0.48830409356725146,0.30086132644272184,0.58203125,0.7142857142857143,0.5497076023391814,"[128, 77, 57, 35]"
46,32,256,4,3,4,0.0,0.0001,0.0001,33.088235294117645,53.888888888888886,72.16494845360825,52.85714285714286,0.2041343669250647,0.48639455782312924,0.6434599156118144,0.5166666666666666,0.35551248923341944,0.5124716553287982,0.7320675105485233,0.5305555555555556,"[147, 79, 60, 36]"
58,32,64,3,3,4,0.2,1e-05,0.0001,27.02205882352941,57.14285714285714,61.904761904761905,36.53846153846153,0.2101636520241171,0.5578512396694215,0.5166666666666666,0.2888888888888889,0.2933677863910422,0.5647382920110193,0.6142857142857143,0.36296296296296304,"[121, 70, 45, 19]"
