#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
38,32,32,2,4,32,64,0.0,1e-05,0.001,0.4467496542185338,0.6944444444444441,0.6674528301886793,0.4494047619047618,0.5506569847856154,0.7851851851851852,0.785377358490566,0.6815476190476191,"[270, 212, 168, 116]"
34,32,32,2,3,128,128,0.0,0.0001,0.001,0.5159059474412168,0.7001114827201786,0.7413554633471647,0.49999999999999967,0.6128976486860305,0.8043478260869565,0.8609958506224067,0.7583732057416268,"[299, 241, 209, 161]"
37,64,128,4,3,128,128,0.0,0.0001,0.001,0.4847856154910093,0.6735870818915802,0.7278761061946903,0.4948979591836734,0.5897302904564315,0.7820069204152249,0.8584070796460177,0.7117346938775511,"[289, 226, 196, 142]"
35,128,32,4,2,128,128,0.1,1e-05,0.001,0.5152143845089904,0.5707236842105264,0.6883012820512823,0.4568273092369479,0.6198132780082988,0.6825657894736842,0.7884615384615384,0.7379518072289156,"[304, 208, 166, 124]"
24,32,128,3,2,128,128,0.1,1e-05,0.001,0.5345781466113415,0.7323232323232323,0.7292441140024785,0.5537190082644625,0.674792531120332,0.8136363636363636,0.8903345724907064,0.7727272727272727,"[330, 269, 242, 190]"
64,64,64,2,3,128,64,0.2,1e-05,0.001,0.4488243430152144,0.6943462897526502,0.747727272727273,0.4659498207885303,0.5807399723374826,0.7691401648998822,0.8340909090909091,0.7096774193548387,"[283, 220, 186, 134]"
37,128,32,4,3,64,128,0.1,1e-05,0.001,0.4951590594744122,0.6683168316831678,0.771101573676681,0.5064724919093849,0.6177385892116183,0.768976897689769,0.8755364806866953,0.7742718446601942,"[303, 233, 206, 161]"
26,32,32,2,2,32,64,0.0,0.0001,0.001,0.5134854771784231,0.7152777777777776,0.7350597609561753,0.5328849028400595,0.6377939142461965,0.8044871794871795,0.8745019920318725,0.7690582959641256,"[312, 251, 223, 172]"
22,128,64,2,2,128,128,0.2,0.0001,0.001,0.5304287690179805,0.7129065040650404,0.751851851851852,0.5411347517730494,0.667704011065007,0.8201219512195121,0.8592592592592593,0.7872340425531915,"[328, 270, 235, 186]"
34,32,64,4,4,32,128,0.2,0.0001,0.001,0.4882434301521436,0.7095709570957096,0.7120567375886525,0.5509031198686368,0.6201590594744122,0.7728272827282728,0.8531914893617021,0.7857142857142857,"[303, 235, 203, 162]"
