#epochs,encoder_embedding_dim,decoder_embedding_dim,enc_layers,dec_layers,enc_hidden_units,dec_hidden_units,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,F1 nivel1
36,128,32,3,3,128,128,0.0,0.0001,0.001,0.4955048409405254,0.6165540540540544,0.6469622331691298,0.4650205761316873,0.6021784232365144,0.6813063063063064,0.7906403940886699,0.6903292181069959,"[296, 203, 162, 114]",0.5436583276093401
54,32,32,3,4,64,128,0.2,0.0001,0.001,0.4882434301521439,0.6236017897091723,0.671361502347418,0.5356454720616569,0.6045988934993084,0.7114093959731543,0.8043818466353677,0.7543352601156069,"[298, 213, 173, 132]",0.5402269499262924
45,64,64,4,3,64,128,0.1,1e-05,0.001,0.4840940525587829,0.716887417218543,0.7081659973226241,0.5949074074074071,0.6103042876901797,0.8200883002207506,0.8621151271753682,0.7893518518518519,"[302, 249, 216, 173]",0.5399216447180105
44,32,32,3,4,64,128,0.1,1e-05,0.001,0.4965421853388658,0.6729667812142037,0.6644736842105262,0.4783783783783783,0.5907676348547717,0.779495990836197,0.8114035087719298,0.6936936936936936,"[291, 228, 185, 130]",0.5395721568780105
43,64,128,2,3,64,64,0.1,0.0001,0.001,0.4813278008298754,0.6991199119911992,0.7603305785123967,0.5622119815668201,0.6128976486860304,0.7942794279427944,0.890495867768595,0.7634408602150539,"[303, 242, 217, 167]",0.5392027346948676
44,128,32,3,2,64,64,0.2,1e-05,0.001,0.4847856154910095,0.7341269841269837,0.6951388888888886,0.5849206349206348,0.5994121715076071,0.808390022675737,0.8729166666666667,0.8039682539682539,"[294, 240, 210, 171]",0.5360394606625196
53,128,128,3,3,64,64,0.1,0.0001,0.001,0.4799446749654218,0.7269144144144142,0.706085753803596,0.5684380032206117,0.6004495159059474,0.8063063063063064,0.8568464730290456,0.789049919484702,"[296, 241, 207, 165]",0.5334766702368091
44,128,32,3,2,64,64,0.2,0.0001,0.001,0.4847856154910096,0.742840778923253,0.7015027322404371,0.5907668231611891,0.5900760719225449,0.8367697594501718,0.8688524590163934,0.8059467918622849,"[291, 244, 213, 173]",0.5322738638156076
33,64,128,2,4,64,128,0.0,0.0001,0.001,0.4647302904564312,0.7065573770491805,0.7268326417704009,0.6128787878787877,0.6211964038727523,0.7836065573770491,0.9094052558782848,0.7909090909090909,"[305, 241, 220, 177]",0.5316911108453933
40,128,32,3,4,32,128,0.1,0.0001,0.001,0.4723374827109266,0.676905574516496,0.7525473071324598,0.5665024630541868,0.5942254495159058,0.7781569965870307,0.8799126637554585,0.7881773399014779,"[293, 229, 203, 162]",0.5263167216979915
36,128,128,4,4,32,128,0.2,1e-05,0.001,0.4688796680497926,0.7160493827160495,0.710055096418733,0.5593495934959347,0.5997579529737206,0.8069584736251404,0.8395316804407714,0.751219512195122,"[297, 242, 205, 155]",0.5263043418426567
36,128,32,4,4,32,128,0.1,1e-05,0.001,0.4778699861687412,0.6862745098039217,0.702702702702703,0.5407986111111108,0.5838520055325034,0.7647058823529411,0.8596096096096095,0.78125,"[289, 222, 192, 151]",0.5255713868398759
45,32,32,4,4,64,128,0.0,1e-05,0.001,0.4764868603042876,0.6255952380952381,0.6683006535947713,0.4960079840319361,0.56932918395574,0.7255952380952382,0.8186274509803921,0.7205588822355289,"[280, 204, 167, 122]",0.5187869832970803
44,32,32,2,4,128,128,0.0,0.0001,0.001,0.4827109266943289,0.6672683513838746,0.6603773584905659,0.4728682170542634,0.5589557399723374,0.7617328519855595,0.8089622641509434,0.6967054263565892,"[277, 212, 172, 122]",0.51804296298847
43,32,128,2,4,128,128,0.0,1e-05,0.001,0.461964038727524,0.6823461091753775,0.7164404223227753,0.5837606837606835,0.5838520055325034,0.7636469221835076,0.8763197586727,0.7717948717948718,"[287, 221, 195, 152]",0.5158051111862618
53,128,32,3,2,128,64,0.0,1e-05,0.001,0.4723374827109267,0.6376811594202899,0.6310116086235489,0.5040899795501019,0.5596473029045642,0.7246376811594203,0.8059701492537313,0.7198364008179959,"[276, 201, 163, 119]",0.5122990221260746
39,128,32,4,4,32,128,0.0,0.0001,0.001,0.4681881051175657,0.6915151515151516,0.7161339421613394,0.5508771929824557,0.5561894882434303,0.7927272727272727,0.8592085235920853,0.7947368421052632,"[275, 219, 190, 152]",0.5084088216584672
46,128,32,3,4,128,128,0.1,0.0001,0.001,0.4626556016597511,0.6377858002406739,0.6789473684210526,0.3935483870967744,0.5631051175656984,0.6780986762936222,0.8114035087719299,0.6741935483870968,"[277, 190, 155, 106]",0.5079620072832662
