#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1,F1 nivel1,F1 nivel4,F1 promedio
25,64,128,3,3,4,0.0,1e-05,0.0001,0.5245504840940525,0.7066027689030885,0.7790549169859512,0.5854519774011299,0.6340248962655601,0.8296059637912672,0.8856960408684548,0.8305084745762712,"[313, 261, 236, 198]",0.139349930843707,0.385874827109267,0.2013305850442779,0.5741155420729748,0.6867745889513505,0.6304450655121626
18,128,128,3,3,2,0.0,1e-05,0.0001,0.5304287690179803,0.7366863905325443,0.8263646922183504,0.5519645120405577,0.6855117565698479,0.8467455621301775,0.9006968641114983,0.8231939163498099,"[338, 287, 263, 217]",0.1535269709543568,0.4317946058091286,0.2235544538449103,0.598080497413989,0.6608312452909535,0.6294558713524713
22,64,128,4,4,4,0.0,0.0001,0.0001,0.5297372060857535,0.6893704850361199,0.7637844611528822,0.5748587570621466,0.6550829875518673,0.8198142414860682,0.8740601503759399,0.8050847457627118,"[323, 266, 236, 192]",0.1341632088520058,0.3793049792531121,0.1956498895295575,0.5857797384675093,0.6707666152004578,0.6282731768339835
20,64,256,4,4,4,0.0,0.0001,0.0001,0.5311203319502071,0.7350427350427348,0.7808988764044943,0.5663900414937759,0.6323997233748271,0.8541666666666666,0.8876404494382022,0.8278008298755186,"[312, 267, 241, 201]",0.1431535269709545,0.3985995850622406,0.2075793501104704,0.5773520610441524,0.6725881742738589,0.6249701176590057
16,64,256,3,3,4,0.1,0.0001,0.001,0.5345781466113412,0.6961697722567285,0.7919847328244273,0.5651577503429353,0.6496023513139696,0.8105590062111802,0.9153944020356236,0.7962962962962963,"[322, 262, 243, 194]",0.1376210235131399,0.3897821576763485,0.200969984372474,0.5865038676252443,0.6611064464968744,0.6238051570610594
22,128,128,4,4,4,0.1,0.0001,0.001,0.5062240663900414,0.7619791666666662,0.8007246376811595,0.5803921568627449,0.6503284923928077,0.8561458333333334,0.9083333333333332,0.8156862745098039,"[320, 276, 255, 209]",0.1459197786998618,0.4145746887966805,0.2132847443013418,0.5692986996714674,0.6782110597047807,0.623754879688124
24,64,256,4,3,2,0.0,0.0001,0.0001,0.5117565698478561,0.7012987012987012,0.7340000000000003,0.5737327188940091,0.6256569847856155,0.8084415584415584,0.852,0.8202764976958525,"[308, 250, 217, 180]",0.1258644536652838,0.3579702627939142,0.1843033177058073,0.5630037924744397,0.6752028030620405,0.61910329776824
32,64,256,3,3,2,0.1,0.0001,0.0001,0.5608575380359612,0.7573904179408762,0.7488095238095237,0.5166666666666663,0.6658022130013832,0.8500509683995924,0.8785714285714286,0.796,"[327, 280, 250, 200]",0.1403872752420472,0.3980636237897648,0.2051620233155503,0.608840698795345,0.6266124936515995,0.6177265962234723
16,128,256,3,3,4,0.1,0.0001,0.001,0.5145228215767634,0.7430555555555554,0.7948232323232324,0.5672153635116594,0.6303250345781466,0.8397435897435898,0.9109848484848484,0.8148148148148148,"[312, 264, 243, 199]",0.1396957123098204,0.4005878284923928,0.2054337087532108,0.5665671880469251,0.6688355849646169,0.617701386505771
22,128,128,4,3,2,0.1,0.0001,0.0001,0.5698478561549095,0.7373134328358208,0.7671394799054374,0.5091503267973855,0.6827109266943293,0.8328358208955224,0.8900709219858156,0.7588235294117647,"[335, 282, 255, 194]",0.1369294605809131,0.3908195020746887,0.2007625154928059,0.6211945711087975,0.6094057004244995,0.6153001357666485
18,128,128,4,4,2,0.1,0.0001,0.0001,0.544951590594744,0.7241200828157349,0.7506082725060829,0.5408163265306118,0.6517980636237898,0.8422360248447205,0.8813868613138686,0.773469387755102,"[322, 274, 245, 191]",0.133471645919779,0.3790629322268327,0.1952300120349913,0.5936051709165516,0.636550893649385,0.6150780322829683
32,64,128,3,3,2,0.1,1e-05,0.0001,0.5553250345781466,0.6968253968253968,0.7072072072072072,0.5358744394618832,0.6368948824343016,0.8195767195767194,0.8532818532818532,0.7757847533632287,"[315, 259, 223, 174]",0.1230982019363764,0.3498443983402489,0.1797785202349517,0.5933195169172472,0.6338890805258517,0.6136042987215494
22,128,128,4,4,2,0.0,1e-05,0.001,0.4654218533886583,0.7613756613756613,0.7518382352941175,0.5984195402298849,0.6420297372060857,0.8613756613756614,0.8363970588235294,0.798132183908046,"[315, 272, 232, 188]",0.1313969571230985,0.3706777316735822,0.1912602611772736,0.5396437600683109,0.6839959971146112,0.611819878591461
30,64,256,3,4,4,0.1,1e-05,0.0001,0.5387275242047023,0.7486855941114616,0.7437810945273627,0.5330520393811532,0.6454011065006915,0.8437434279705575,0.871268656716418,0.7848101265822784,"[317, 268, 237, 188]",0.1341632088520058,0.375155601659751,0.1946125451312173,0.5872594095068343,0.6348837523472433,0.6110715809270388
20,128,128,4,3,4,0.1,0.0001,0.001,0.4896265560165975,0.7507886435331228,0.7860606060606061,0.5796221322537112,0.6432399723374828,0.861093585699264,0.8845454545454545,0.7800269905533063,"[317, 275, 247, 194]",0.1348547717842327,0.3812932226832642,0.1963037308472992,0.5560184972635639,0.665055270357608,0.610536883810586
24,64,256,4,3,2,0.1,0.0001,0.0001,0.5504840940525586,0.7336601307189541,0.6762820512820514,0.5360360360360359,0.6175311203319501,0.8398692810457516,0.8384615384615385,0.7905405405405406,"[306, 260, 222, 177]",0.1237897648686033,0.3482883817427386,0.1799563507032386,0.5820832727839572,0.6388748680769053,0.6104790704304313
32,64,256,4,3,2,0.1,1e-05,0.0001,0.544260027662517,0.7592592592592589,0.7218091697645601,0.5271816881258938,0.6379322268326418,0.8497354497354496,0.8531598513011153,0.7918454935622318,"[315, 269, 233, 186]",0.1313969571230985,0.3693810511756569,0.1910905139120907,0.5873850215183702,0.6329610940947555,0.610173057806563
17,128,128,4,4,4,0.0,1e-05,0.001,0.4910096818810509,0.7289669861554842,0.7320987654320988,0.579710144927536,0.6399550484094052,0.8561235356762514,0.8331481481481481,0.7673913043478261,"[313, 270, 230, 178]",0.1251728907330569,0.3497406639004149,0.181512367300749,0.5556744897906322,0.6604766470987206,0.6080755684446764
20,128,128,3,3,2,0.1,1e-05,0.0001,0.5401106500691562,0.7507886435331232,0.7420924574209246,0.5271966527196649,0.6422544951590594,0.8596214511041009,0.8576642335766423,0.7740585774058577,"[317, 274, 239, 186]",0.1313969571230985,0.3727524204702628,0.1921952183362971,0.5867704985894898,0.627211451788669,0.6069909751890794
25,64,256,3,4,2,0.1,1e-05,0.0001,0.519363762102351,0.7195767195767193,0.7247474747474749,0.5401785714285712,0.6377593360995851,0.8333333333333334,0.8352272727272727,0.7678571428571429,"[315, 264, 224, 174]",0.1210235131396959,0.3463865836791148,0.1773580499721578,0.572504496068358,0.6342028278888346,0.6033536619785963
17,128,128,4,3,2,0.0,1e-05,0.001,0.4751037344398342,0.7263440860215054,0.7724358974358975,0.5723684210526313,0.6307399723374827,0.8338709677419355,0.8634615384615385,0.783625730994152,"[310, 260, 228, 180]",0.1258644536652838,0.3563796680497926,0.1835425984803577,0.5419697457813711,0.6615406440629875,0.6017551949221793
18,64,128,4,4,4,0.1,1e-05,0.001,0.5172890733056704,0.7257053291536054,0.7659176029962544,0.5269503546099289,0.6465248962655602,0.8276907001044931,0.8655430711610487,0.7645390070921986,"[319, 267, 235, 181]",0.1279391424619643,0.3561549100968189,0.185036194787232,0.5747314832137131,0.6238906999115907,0.5993110915626519
20,64,128,4,3,2,0.1,1e-05,0.001,0.4605809128630703,0.7035306334371755,0.8031446540880504,0.578723404255319,0.6538727524204703,0.8207684319833853,0.870754716981132,0.7560283687943262,"[321, 265, 235, 180]",0.1272475795297375,0.3539591977869987,0.1842341614125846,0.5404644779547416,0.6555995206548035,0.5980319993047726
26,64,256,4,4,4,0.1,0.0001,0.0001,0.5615491009681882,0.7332301341589268,0.7168525402726142,0.4894514767932487,0.6540110650069156,0.826625386996904,0.8680297397769516,0.7362869198312236,"[323, 269, 237, 176]",0.1224066390041496,0.3482883817427386,0.1789190063048983,0.6042635088873136,0.5880157156655553,0.5961396122764344
17,64,256,4,4,4,0.1,0.0001,0.001,0.5103734439834026,0.6913183279742764,0.7743190661478601,0.5148809523809522,0.6308782849239281,0.8257234726688103,0.8540856031128404,0.7566964285714286,"[311, 257, 224, 171]",0.1203319502074691,0.3341804979253112,0.1738360187530312,0.564263807633824,0.6127957034188747,0.5885297555263493
24,64,128,4,3,2,0.0,0.0001,0.0001,0.5262793914246194,0.7056623931623929,0.742894056847545,0.5045045045045043,0.6330048409405257,0.8221153846153846,0.8484496124031008,0.7454954954954955,"[312, 258, 222, 167]",0.1168741355463349,0.3325553250345781,0.1709956709956709,0.5747294635058713,0.6017693369044719,0.5882494002051716
18,128,128,4,3,2,0.1,1e-05,0.0001,0.5262793914246195,0.7738095238095238,0.7587064676616913,0.4950773558368492,0.6215076071922545,0.8652597402597403,0.8675373134328358,0.7637130801687764,"[308, 268, 237, 184]",0.1272475795297375,0.3591804979253112,0.1855876488656571,0.5699431090839375,0.6007307356858305,0.585336922384884
15,128,256,3,4,2,0.1,1e-05,0.001,0.4460580912863068,0.6942567567567566,0.7758620689655171,0.5566343042071195,0.6015733056708161,0.7791666666666668,0.871551724137931,0.7378640776699029,"[296, 232, 206, 154]",0.1071922544951592,0.3053077455048409,0.1567148964451869,0.5122730022710471,0.6345631067961163,0.5734180545335816
