#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match,Precision,Recall,F1
14,128,256,3,3,4,0.0,1e-05,0.001,0.492392807745505,0.7481940144478842,0.7639405204460966,0.616182572614108,0.655255878284924,0.8253353973168216,0.8835192069392812,0.813969571230982,"[323, 269, 241, 198]",0.14107883817427405,0.3924619640387275,0.20464335111638018
15,128,256,4,4,2,0.1,0.0001,0.0001,0.5809128630705394,0.7329255861365951,0.7826617826617827,0.4788251366120213,0.6621715076071923,0.8259429153924568,0.8833943833943834,0.7759562841530055,"[327, 273, 244, 192]",0.1348547717842327,0.3763831258644537,0.19595929658170325
15,128,256,4,3,2,0.0,1e-05,0.0001,0.5587828492392805,0.6878787878787878,0.8009950248756217,0.5758807588075879,0.6675311203319502,0.806060606060606,0.9085820895522388,0.8401084010840107,"[330, 268, 246, 209]",0.14799446749654233,0.4142461964038728,0.21522426397945071
17,128,128,3,4,2,0.0,0.0001,0.0001,0.5380359612724755,0.7396777442094659,0.7993939393939391,0.5816993464052287,0.6685684647302904,0.822255790533736,0.916969696969697,0.8450980392156863,"[331, 275, 255, 218]",0.15421853388658374,0.436030428769018,0.22524204702627942
14,128,256,4,4,2,0.1,1e-05,0.0001,0.5546334716459196,0.7019730010384215,0.7624521072796935,0.5161744022503513,0.6531811894882436,0.800882658359294,0.89272030651341,0.7834036568213782,"[321, 261, 237, 187]",0.13347164591977903,0.3730982019363763,0.19399328196008692
25,64,128,4,3,2,0.0,1e-05,0.0001,0.573997233748271,0.6784660766961651,0.7537037037037037,0.5501412429378529,0.6908713692946058,0.7878564405113079,0.8629629629629629,0.780367231638418,"[339, 270, 236, 186]",0.133471645919779,0.3706777316735823,0.19344003161430548
16,64,128,4,4,4,0.0,1e-05,0.001,0.5152143845089904,0.7341640706126684,0.7536764705882352,0.61875,0.6517980636237899,0.8367082035306336,0.8719362745098039,0.8291666666666667,"[321, 272, 240, 201]",0.14246196403872774,0.3992047026279391,0.20710333926101562
12,128,128,3,3,2,0.1,1e-05,0.001,0.46887966804979264,0.7237762237762235,0.805194805194805,0.48803827751196144,0.578838174273859,0.8021561771561772,0.8888888888888888,0.7527910685805421,"[286, 231, 209, 159]",0.1134163208852008,0.3091286307053942,0.1632187314759929
14,128,128,4,4,2,0.0,1e-05,0.0001,0.5473720608575378,0.7489775051124742,0.8061594202898547,0.5469576719576718,0.6645919778699863,0.8356339468302657,0.9027777777777778,0.8419312169312169,"[326, 276, 252, 215]",0.15387275242047035,0.427731673582296,0.223246393993282
31,64,256,3,3,2,0.1,1e-05,0.0001,0.5463347164591978,0.6867088607594933,0.7715803452855242,0.5445906432748533,0.6369294605809128,0.7898206751054853,0.901062416998672,0.8099415204678362,"[316, 251, 228, 187]",0.13208852005532537,0.37448132780082993,0.19309425014819206
21,128,128,3,4,2,0.1,1e-05,0.0001,0.5656984785615491,0.7267676767676768,0.7899877899877897,0.5032808398950127,0.671161825726141,0.816919191919192,0.9212454212454212,0.7729658792650917,"[330, 273, 254, 198]",0.1417704011065009,0.3941908713692946,0.20554238292827506
17,64,128,4,4,2,0.0,1e-05,0.001,0.5,0.773006134969325,0.7358156028368794,0.5942028985507246,0.6625172890733056,0.8545501022494889,0.8865248226950354,0.7812911725955204,"[326, 282, 253, 200]",0.14315352697095457,0.39401798063623794,0.20668840150167953
17,128,256,4,3,4,0.0,1e-05,0.0001,0.5622406639004145,0.7235410484668643,0.7869718309859153,0.6057068741893643,0.6839557399723375,0.8311078140454996,0.8943661971830986,0.8488975356679638,"[337, 284, 257, 220]",0.15491009681881054,0.4346473029045644,0.2254593953764078
23,64,256,4,4,4,0.0,0.0001,0.0001,0.5511756569847854,0.7162162162162161,0.7643467643467641,0.5582655826558264,0.671161825726141,0.8110610610610611,0.8913308913308913,0.8048780487804879,"[333, 273, 246, 199]",0.14038727524204728,0.39298063623789764,0.20425805176842524
26,64,256,4,3,2,0.0,0.0001,0.0001,0.5408022130013832,0.7213701431492838,0.7863408521303257,0.5403005464480871,0.6625172890733058,0.8095603271983639,0.9028822055137845,0.7950819672131147,"[326, 266, 244, 197]",0.13831258644536681,0.39159751037344404,0.20225251926496735
23,64,256,3,3,2,0.0,0.0001,0.0001,0.5688105117565699,0.6979797979797977,0.7740324594257176,0.5088797814207646,0.6663208852005533,0.8032828282828284,0.897003745318352,0.7766393442622951,"[330, 267, 244, 190]",0.133471645919779,0.37845781466113415,0.1953368899426991
24,128,256,4,3,2,0.0,1e-05,0.001,0.49515905947441213,0.7238955823293172,0.813358302122347,0.630758807588076,0.6706431535269709,0.7966867469879518,0.9119850187265918,0.8482384823848238,"[332, 267, 246, 210]",0.15145228215767645,0.4163208852005532,0.21854376605413953
