#epochs,embedding_dim,feedforward_dim,enc_layers,dec_layers,attention_heads,dropout,weight_decay,learning_rate,Precision nivel1,Precision nivel2,Precision nivel3,Precision nivel4,Recall nivel1,Recall nivel2,Recall nivel3,Recall nivel4,Drugs that have at least one match
21,64,128,4,4,4,0.0,1e-05,0.0001,0.525879917184265,0.7200854700854697,0.7713032581453633,0.49717514124293744,0.6235334713595584,0.8442307692307691,0.8721804511278194,0.7436440677966102,"[312, 266, 236, 178]"
24,64,256,3,3,4,0.1,1e-05,0.0001,0.5438233264320221,0.6874350986500518,0.7381889763779524,0.5098934550989341,0.645272601794341,0.7825545171339563,0.8523622047244094,0.7648401826484018,"[321, 254, 219, 169]"
25,64,128,4,4,2,0.1,1e-05,0.001,0.5120772946859903,0.7507987220447286,0.7709876543209873,0.5750688705234157,0.6293995859213252,0.8543130990415335,0.8876543209876543,0.8264462809917356,"[313, 270, 242, 202]"
12,128,128,4,3,2,0.1,1e-05,0.001,0.4023464458247066,0.6942307692307693,0.7540453074433657,0.42285714285714293,0.5200138026224983,0.786923076923077,0.8365695792880258,0.6085714285714285,"[260, 206, 175, 109]"
23,64,128,4,4,4,0.1,0.0001,0.001,0.5403726708074531,0.7308868501529052,0.7924187725631766,0.5485829959514167,0.6545893719806763,0.8418960244648318,0.8808664259927796,0.8178137651821862,"[327, 277, 247, 205]"
16,64,128,3,3,2,0.0,0.0001,0.001,0.4982746721877157,0.7616221562809099,0.810919540229885,0.5791826309067686,0.6783988957902002,0.853412462908012,0.8896551724137931,0.7848020434227331,"[337, 290, 261, 207]"
23,128,128,4,3,4,0.1,1e-05,0.001,0.4706694271911662,0.7345474613686531,0.7872892347600517,0.5432900432900432,0.6083505866114562,0.843046357615894,0.8865110246433203,0.7467532467532467,"[302, 257, 231, 176]"
17,128,128,3,4,4,0.0,0.0001,0.0001,0.5272601794340923,0.7826086956521736,0.7789232531500573,0.6026615969581749,0.6490683229813664,0.8956521739130434,0.8923253150057274,0.829531051964512,"[322, 291, 263, 220]"
20,64,128,3,4,2,0.1,1e-05,0.001,0.5217391304347826,0.7566872427983539,0.7827918170878458,0.5526666666666664,0.65527950310559,0.844753086419753,0.8953068592057761,0.7886666666666666,"[324, 277, 250, 200]"
15,64,128,3,4,4,0.0,1e-05,0.001,0.5106970324361628,0.7435129740518964,0.7862068965517242,0.6608300907911802,0.6701173222912353,0.8610778443113773,0.8821839080459769,0.8463035019455253,"[334, 290, 257, 222]"
18,128,256,3,3,2,0.1,0.0001,0.0001,0.5369220151828845,0.7721518987341771,0.7883211678832115,0.4892473118279565,0.6318150448585231,0.8626582278481013,0.8911192214111923,0.7594086021505376,"[316, 274, 248, 189]"
19,64,128,3,3,2,0.1,0.0001,0.001,0.5286404416839198,0.7482269503546097,0.7803850782190133,0.5718157181571814,0.6625258799171843,0.8340425531914893,0.8820697954271962,0.8333333333333334,"[329, 277, 246, 207]"
